Systems,ΔGOOH*,ΔGO*,ΔGOH*,ΔG(ⅰ),ΔG(ⅱ),ΔG(ⅲ),ΔG(ⅳ),UORR,RDS
NNNN-Hg,4.527,3.353,1.095,0.393,1.175,2.257,1.095,0.393,1
NNNN-Ir,4.247,2.29,1.123,0.673,1.957,1.167,1.123,0.673,1
NNNN-Mn,3.74,1.073,0.478,1.18,2.667,0.595,0.478,0.478,4
NNNN-Ni,5.077,3.959,2.107,-0.157,1.118,1.852,2.107,-0.157,1
NNNN-Os,2.675,-0.129,-0.032,2.245,2.804,-0.097,-0.032,-0.097,3
NNNN-Pd,5.215,4.579,2.441,-0.295,0.636,2.138,2.441,-0.295,1
NNNN-Pt,5.439,4.417,2.463,-0.519,1.022,1.955,2.463,-0.519,1
NNNN-Rh,4.182,2.568,1.074,0.738,1.614,1.494,1.074,0.738,1
NNNN-Ru,3.074,0.545,0.088,1.846,2.528,0.457,0.088,0.088,4
NNNN-Sc,1.815,0.506,-1.734,3.105,1.309,2.239,-1.734,-1.734,4
NNNN-Ti,1.466,-1.933,-2.016,3.454,3.399,0.083,-2.016,-2.016,4
NNNN-Y,1.859,0.95,-1.515,3.061,0.909,2.464,-1.515,-1.515,4
NNNN-Zn,4.104,3.218,0.718,0.816,0.885,2.5,0.718,0.718,4
NNNN-Zr,1.072,-1.688,-2.439,3.848,2.76,0.751,-2.439,-2.439,4
PPPP-Ag,3.674,3.035,0.658,1.246,0.639,2.377,0.658,0.639,2
PPPP-Au,3.562,2.243,0.381,1.358,1.319,1.863,0.381,0.381,4
PPPP-Cd,3.993,2.988,0.902,0.927,1.005,2.086,0.902,0.902,4
PPPP-Co,4.256,2.403,0.993,0.664,1.853,1.41,0.993,0.664,1
PPPP-Cu,3.094,2.202,-0.048,1.826,0.892,2.25,-0.048,-0.048,4
PPPP-Fe,3.541,1.36,0.315,1.379,2.18,1.045,0.315,0.315,4
PPPP-Ni,4.455,4.037,1.49,0.465,0.418,2.547,1.49,0.418,2
PPPP-Pd,3.756,2.53,0.433,1.164,1.226,2.096,0.433,0.433,4
PPPP-Pt,3.285,1.425,-0.201,1.635,1.86,1.625,-0.201,-0.201,4
PPPP-Ru,3.862,1.458,0.637,1.058,2.404,0.82,0.637,0.637,4
PPPP-Zn,3.408,2.144,0.012,1.512,1.264,2.132,0.012,0.012,4
PPPP-Zr,2.344,-0.333,-1.098,2.576,2.677,0.765,-1.098,-1.098,4
OOOO-Ag,3.913,2.921,0.496,1.007,0.992,2.425,0.496,0.496,4
OOOO-Cd,5.7,4.044,2.192,-0.78,1.656,1.852,2.192,-0.78,1
OOOO-Co,2.826,0.371,-0.452,2.094,2.455,0.822,-0.452,-0.452,4
OOOO-Cu,2.803,1.433,-0.697,2.117,1.37,2.13,-0.697,-0.697,4
OOOO-Ir,4.73,3.22,1.802,0.19,1.51,1.418,1.802,0.19,1
OOOO-Ni,2.315,0.205,-1.076,2.605,2.11,1.281,-1.076,-1.076,4
OOOO-Pd,3.507,1.955,0.425,1.413,1.552,1.529,0.425,0.425,4
OOOO-Pt,2.528,0.193,-0.643,2.392,2.335,0.836,-0.643,-0.643,4
OOOO-Zn,4.887,3.108,1.291,0.033,1.78,1.816,1.291,0.033,1
SSSS-Ag,3.878,2.729,0.355,1.042,1.149,2.374,0.355,0.355,4
SSSS-Co,1.901,1.773,0.41,3.019,0.128,1.363,0.41,0.128,2
SSSS-Fe,3.538,2.88,0.732,1.382,0.659,2.148,0.732,0.659,2
SSSS-Hg,5.543,4.38,2.48,-0.623,1.163,1.9,2.48,-0.623,1
SSSS-Ir,4.699,1.683,1.208,0.221,3.016,0.475,1.208,0.221,1
SSSS-Rh,4.977,4.078,1.519,-0.057,0.899,2.559,1.519,-0.057,1
SSSS-Zn,4.063,2.84,1.809,0.857,1.223,1.032,1.809,0.857,1
CBON-Ag,4.216,3.042,1.045,0.704,1.174,1.997,1.045,0.704,1
CONN-Au,3.828,2.372,0.451,1.092,1.456,1.921,0.451,0.451,4
CONN-Cd,3.917,2.919,0.42,1.003,0.998,2.499,0.42,0.42,4
CONN-Co,4.154,2.083,1.039,0.766,2.071,1.044,1.039,0.766,1
