Systems,ΔGOOH*,ΔGO*,ΔGOH*,ΔG(ⅰ),ΔG(ⅱ),ΔG(ⅲ),ΔG(ⅳ),UORR,RDS
ONBS-Co,3.688,1.221,0.475,1.232,2.467,0.746,0.475,0.475,4
ONBS-Cu,4.284,2.267,-0.002,0.636,2.017,2.269,-0.002,-0.002,4
ONBS-Fe,3.196,0.473,-0.441,1.724,2.723,0.914,-0.441,-0.441,4
ONBS-Hf,1.218,-1.667,-2.253,3.702,2.884,0.586,-2.253,-2.253,4
ONBS-Ir,2.793,0.249,-0.435,2.127,2.544,0.684,-0.435,-0.435,4
ONBS-Mn,2.751,0.135,-0.796,2.169,2.615,0.931,-0.796,-0.796,4
ONBS-Ni,4.53,2.639,1.241,0.39,1.891,1.399,1.241,0.39,1
ONBS-Os,2.71,-0.072,-0.299,2.21,2.782,0.227,-0.299,-0.299,4
ONBS-Pd,4.06,2.679,0.75,0.86,1.381,1.929,0.75,0.75,4
ONBS-Pt,3.667,1.81,0.176,1.253,1.856,1.634,0.176,0.176,4
ONBS-Rh,3.05,1.17,0.01,1.87,1.88,1.16,0.01,0.01,4
ONBS-Ru,3.202,0.652,0.094,1.718,2.551,0.558,0.094,0.094,4
ONBS-Ti,1.568,-1.645,-1.873,3.352,3.213,0.228,-1.873,-1.873,4
ONBS-Zr,1.356,-1.67,-2.018,3.564,3.026,0.348,-2.018,-2.018,4
PNBS-Co,3.868,1.852,0.718,1.052,2.015,1.134,0.718,0.718,4
PNBS-Cu,4.519,3.261,1.051,0.401,1.258,2.21,1.051,0.401,1
PNBS-Fe,2.516,0.845,0.071,2.404,1.671,0.773,0.071,0.071,4
PNBS-Hf,1.697,-0.462,-1.78,3.223,2.16,1.317,-1.78,-1.78,4
PNBS-Mo,2.611,-0.6,-0.824,2.309,3.211,0.225,-0.824,-0.824,4
PNBS-Ni,3.987,2.436,0.726,0.933,1.551,1.709,0.726,0.726,4
PNBS-Pd,3.792,2.589,0.524,1.128,1.203,2.065,0.524,0.524,4
PNBS-Rh,3.955,1.884,0.927,0.965,2.071,0.957,0.927,0.927,4
PNBS-Sc,2.036,-0.044,-1.313,2.884,2.08,1.269,-1.313,-1.313,4
PNBS-Ti,2.129,-0.153,-1.308,2.791,2.282,1.155,-1.308,-1.308,4
PNBS-Y,1.909,0.12,-1.454,3.011,1.789,1.574,-1.454,-1.454,4
PNBS-Zn,3.71,1.726,-0.132,1.21,1.984,1.857,-0.132,-0.132,4
NNBB-Ag,4.805,3.591,1.61,0.115,1.214,1.982,1.61,0.115,1
NNBB-Au,5.156,3.587,1.529,-0.236,1.569,2.057,1.529,-0.236,1
NNBB-Cd,3.864,2.937,0.407,1.056,0.927,2.531,0.407,0.407,4
NNBB-Co,3.573,1.046,0.398,1.347,2.526,0.648,0.398,0.398,4
NNBB-Cu,4.895,3.544,1.752,0.025,1.351,1.792,1.752,0.025,1
NNBB-Fe,3.421,0.516,-0.054,1.499,2.905,0.57,-0.054,-0.054,4
NNBB-Hf,0.999,-1.71,-2.504,3.921,2.709,0.794,-2.504,-2.504,4
NNBB-Ir,2.52,-0.156,-0.756,2.4,2.676,0.6,-0.756,-0.756,4
NNBB-Mn,3.173,0.07,-0.23,1.747,3.103,0.3,-0.23,-0.23,4
NNBB-Ni,4.032,2.324,0.729,0.888,1.708,1.595,0.729,0.729,4
NNBB-Pd,3.775,2.118,0.589,1.145,1.657,1.529,0.589,0.589,4
NNBB-Pt,3.697,1.577,0.474,1.223,2.12,1.103,0.474,0.474,4
NNBB-Rh,3.049,0.764,-0.217,1.871,2.285,0.981,-0.217,-0.217,4
NNBB-Ru,3.132,0.05,-0.492,1.788,3.082,0.542,-0.492,-0.492,4
NNBB-Sc,1.612,0.47,-1.792,3.308,1.143,2.261,-1.792,-1.792,4
NNBB-Ti,1.572,-1.623,-1.88,3.348,3.195,0.256,-1.88,-1.88,4
NNBB-Zn,4.266,3.436,0.972,0.654,0.83,2.464,0.972,0.654,1
NNBB-Zr,1.433,-1.531,-2.007,3.487,2.963,0.476,-2.007,-2.007,4
CCBB-Ag,4.157,3.099,0.883,0.763,1.058,2.216,0.883,0.763,1
CCBB-Cd,3.973,2.749,0.371,0.947,1.224,2.378,0.371,0.371,4
CCBB-Co,3.261,1.238,0.134,1.659,2.024,1.104,0.134,0.134,4
CCBB-Cr,2.525,-0.407,-0.826,2.395,2.931,0.419,-0.826,-0.826,4
CCBB-Cu,4.298,2.892,0.928,0.622,1.406,1.964,0.928,0.622,1
CCBB-Fe,3.179,0.665,-0.18,1.741,2.514,0.844,-0.18,-0.18,4
CCBB-Hf,1.606,-0.298,-1.846,3.314,1.904,1.547,-1.846,-1.846,4
CCBB-Hg,4.725,3.083,1.169,0.195,1.641,1.914,1.169,0.195,1
CCBB-Ir,3.309,0.554,-0.201,1.611,2.755,0.755,-0.201,-0.201,4
CCBB-Mn,2.744,0.099,-0.44,2.176,2.646,0.539,-0.44,-0.44,4
CCBB-Mo,2.366,-0.941,-0.973,2.554,3.306,0.032,-0.973,-0.973,4
CCBB-Nb,2.089,-1.083,-1.338,2.831,3.172,0.255,-1.338,-1.338,4
CCBB-Os,2.666,-0.228,-0.757,2.254,2.893,0.529,-0.757,-0.757,4
CCBB-Pd,3.707,2.167,0.675,1.213,1.54,1.493,0.675,0.675,4
CCBB-Pt,3.813,1.366,0.309,1.107,2.447,1.056,0.309,0.309,4
CCBB-Rh,3.437,1.425,0.136,1.483,2.012,1.289,0.136,0.136,4
CCBB-Ru,3.141,0.427,-0.228,1.779,2.714,0.655,-0.228,-0.228,4
CCBB-Ta,1.635,-1.489,-1.9,3.285,3.124,0.411,-1.9,-1.9,4
CCBB-Tc,2.72,-0.166,-0.598,2.2,2.886,0.432,-0.598,-0.598,4
CCBB-V,2.256,-0.887,-1.107,2.664,3.143,0.22,-1.107,-1.107,4
CCBB-Y,2.54,1.362,-0.797,2.38,1.178,2.159,-0.797,-0.797,4
CCBB-Zn,4.384,3.11,0.851,0.536,1.275,2.259,0.851,0.536,1
CCBB-Zr,1.914,-0.209,-1.464,3.006,2.123,1.255,-1.464,-1.464,4
OOBB-Ag,3.881,2.808,0.385,1.039,1.073,2.423,0.385,0.385,4
OOBB-Au,3.308,2.097,-0.148,1.612,1.211,2.245,-0.148,-0.148,4
OOBB-Cd,4.206,3.23,0.7,0.715,0.975,2.53,0.7,0.7,4
OOBB-Co,2.846,0.49,-0.572,2.074,2.356,1.062,-0.572,-0.572,4
OOBB-Cu,2.991,1.905,-0.483,1.929,1.085,2.389,-0.483,-0.483,4
OOBB-Fe,2.702,0.23,-0.887,2.218,2.472,1.118,-0.887,-0.887,4
OOBB-Hg,4.862,3.488,1.396,0.058,1.374,2.092,1.396,0.058,1
OOBB-Ir,2.848,0.32,-0.404,2.072,2.528,0.724,-0.404,-0.404,4
OOBB-Mn,2.773,0.106,-0.622,2.147,2.668,0.727,-0.622,-0.622,4
OOBB-Ni,3.352,1.699,0.192,1.568,1.653,1.507,0.192,0.192,4
OOBB-Pd,4.236,2.641,0.952,0.684,1.595,1.689,0.952,0.684,1
OOBB-Pt,4.109,2.175,0.775,0.811,1.934,1.4,0.775,0.775,4
OOBB-Rh,3.067,0.955,-0.218,1.853,2.111,1.173,-0.218,-0.218,4
OOBB-Sc,1.203,-1.185,-2.203,3.717,2.388,1.018,-2.203,-2.203,4
OOBB-Y,1.183,-0.894,-2.213,3.737,2.077,1.319,-2.213,-2.213,4
OOBB-Zn,3.614,2.21,-0.041,1.306,1.404,2.251,-0.041,-0.041,4
SSBB-Au,3.327,2.137,-0.197,1.593,1.19,2.334,-0.197,-0.197,4
SSBB-Co,3.283,1.173,0.122,1.637,2.11,1.051,0.122,0.122,4
SSBB-Cu,3.802,2.882,0.466,1.118,0.919,2.417,0.466,0.466,4
SSBB-Fe,3.236,0.684,-0.284,1.684,2.553,0.967,-0.284,-0.284,4
SSBB-Hg,4.694,3.375,1.386,0.226,1.318,1.989,1.386,0.226,1
SSBB-Ir,2.779,1.023,-0.528,2.141,1.757,1.551,-0.528,-0.528,4
SSBB-Ni,3.924,2.695,0.939,0.996,1.229,1.757,0.939,0.939,4
SSBB-Pd,4.061,2.256,0.824,0.859,1.804,1.432,0.824,0.824,4
SSBB-Rh,3.14,1.771,-0.222,1.78,1.369,1.993,-0.222,-0.222,4
SSBB-Ru,3.389,0.432,-0.188,1.531,2.958,0.62,-0.188,-0.188,4
SSBB-Sc,2.331,0.276,-1.252,2.589,2.055,1.529,-1.252,-1.252,4
SSBB-Zn,3.286,2.228,-0.009,1.634,1.059,2.236,-0.009,-0.009,4
BBPP-Ag,3.905,3.474,0.603,1.015,0.431,2.871,0.603,0.431,2
BBPP-Au,3.533,2.785,-0.021,1.387,0.747,2.806,-0.021,-0.021,4
BBPP-Cd,4.113,3.479,0.657,0.807,0.634,2.822,0.657,0.634,2
BBPP-Co,3.279,1.489,-0.015,1.641,1.791,1.503,-0.015,-0.015,4
BBPP-Cr,2.592,-0.36,-0.871,2.328,2.952,0.511,-0.871,-0.871,4
BBPP-Cu,3.602,2.232,0.032,1.318,1.37,2.201,0.032,0.032,4
BBPP-Fe,3.142,0.403,-0.021,1.778,2.74,0.423,-0.021,-0.021,4
BBPP-Ir,2.523,-0.179,-0.247,2.397,2.702,0.068,-0.247,-0.247,4
BBPP-Mo,2.285,-1.092,-0.989,2.635,3.376,-0.102,-0.989,-0.989,4
BBPP-Ni,4.127,2.37,0.676,0.793,1.757,1.694,0.676,0.676,4
BBPP-Pd,3.465,2.741,1.177,1.455,0.724,1.564,1.177,0.724,2
BBPP-Pt,3.775,2.541,0.29,1.145,1.234,2.251,0.29,0.29,4
BBPP-Ru,3.278,0.419,-0.044,1.642,2.859,0.463,-0.044,-0.044,4
BBPP-Tc,2.722,-0.153,-0.429,2.198,2.875,0.276,-0.429,-0.429,4
BBPP-Ti,2.005,-0.914,-1.207,2.915,2.919,0.293,-1.207,-1.207,4
BBPP-V,2.046,-1.289,-1.304,2.874,3.334,0.015,-1.304,-1.304,4
BBPP-W,1.851,-1.678,-1.542,3.069,3.53,-0.136,-1.542,-1.542,4
BBPP-Y,2.104,0.412,-1.319,2.816,1.692,1.732,-1.319,-1.319,4
BBPP-Zn,3.506,2.723,-0.048,1.414,0.784,2.771,-0.048,-0.048,4
CCPP-Au,4.625,3.859,1.27,0.295,0.765,2.589,1.27,0.295,1
CCPP-Cd,3.469,2.302,-0.038,1.451,1.167,2.34,-0.038,-0.038,4
CCPP-Co,3.551,1.501,0.694,1.369,2.05,0.807,0.694,0.694,4
CCPP-Cr,2.088,-1.039,-0.888,2.832,3.127,-0.15,-0.888,-0.888,4
CCPP-Cu,4.507,1.222,1.173,0.413,3.285,0.049,1.173,0.049,3
CCPP-Fe,3.237,0.621,0.023,1.683,2.616,0.598,0.023,0.023,4
CCPP-Hf,1.754,-0.673,-1.361,3.166,2.427,0.688,-1.361,-1.361,4
CCPP-Hg,4.755,4.128,1.246,0.165,0.627,2.882,1.246,0.165,1
CCPP-Mn,3.108,0.008,-0.225,1.812,3.1,0.233,-0.225,-0.225,4
CCPP-Mo,2.11,-1.205,-1.195,2.81,3.315,-0.011,-1.195,-1.195,4
CCPP-Nb,2.148,-0.782,-1.528,2.772,2.93,0.746,-1.528,-1.528,4
CCPP-Ni,4.734,2.957,1.403,0.186,1.776,1.555,1.403,0.186,1
CCPP-Pd,4.668,3.157,1.446,0.252,1.511,1.711,1.446,0.252,1
CCPP-Pt,4.768,2.62,1.302,0.152,2.148,1.318,1.302,0.152,1
CCPP-Rh,3.394,0.883,-0.104,1.526,2.511,0.987,-0.104,-0.104,4
CCPP-Ta,1.741,-1.142,-1.957,3.179,2.883,0.815,-1.957,-1.957,4
CCPP-Tc,2.297,-0.972,-1.045,2.623,3.269,0.073,-1.045,-1.045,4
CCPP-Ti,1.921,-0.849,-1.56,2.999,2.771,0.711,-1.56,-1.56,4
CCPP-V,1.967,-0.814,-1.468,2.953,2.781,0.653,-1.468,-1.468,4
CCPP-Zr,2.152,-0.652,-0.98,2.768,2.804,0.328,-0.98,-0.98,4
NNPP-Ag,4.006,3.09,0.691,0.914,0.917,2.399,0.691,0.691,4
NNPP-Cd,4.036,3.063,0.61,0.884,0.973,2.453,0.61,0.61,4
NNPP-Fe,3.274,0.953,0.061,1.646,2.321,0.891,0.061,0.061,4
NNPP-Hf,1.977,-1.183,-2.039,2.943,3.16,0.856,-2.039,-2.039,4
NNPP-Hg,5.001,4.076,1.619,-0.081,0.925,2.456,1.619,-0.081,1
NNPP-Ir,3.531,1.724,0.449,1.389,1.806,1.275,0.449,0.449,4
NNPP-Mn,2.939,0.072,-0.172,1.981,2.867,0.244,-0.172,-0.172,4
NNPP-Pd,4.51,3.025,1.317,0.41,1.485,1.707,1.317,0.41,1
NNPP-Pt,2.348,0.77,-0.466,2.572,1.578,1.236,-0.466,-0.466,4
NNPP-Rh,3.816,2.332,0.705,1.104,1.484,1.627,0.705,0.705,4
NNPP-Sc,1.873,0.45,-1.482,3.047,1.423,1.932,-1.482,-1.482,4
NNPP-Y,1.894,0.672,-1.568,3.026,1.223,2.24,-1.568,-1.568,4
NNPP-Zn,3.189,-0.286,-0.333,1.731,3.476,0.046,-0.333,-0.333,4
NNPP-Zr,1.887,-1.079,-1.587,3.033,2.965,0.508,-1.587,-1.587,4
OOPP-Ag,3.599,3.977,0.176,1.321,-0.378,3.801,0.176,-0.378,2
OOPP-Au,2.786,2.097,-0.088,2.134,0.689,2.185,-0.088,-0.088,4
OOPP-Cd,4.007,3.791,1.751,0.913,0.216,2.04,1.751,0.216,2
OOPP-Co,3.094,2.069,-0.182,1.826,1.025,2.251,-0.182,-0.182,4
OOPP-Fe,2.967,0.54,-0.531,1.953,2.428,1.07,-0.531,-0.531,4
OOPP-Hg,6.413,5.366,1.819,-1.493,1.047,3.547,1.819,-1.493,1
OOPP-Ir,3.021,0.381,-0.021,1.899,2.641,0.401,-0.021,-0.021,4
OOPP-Rh,3.775,2.471,0.366,1.145,1.304,2.105,0.366,0.366,4
OOPP-Sc,1.06,-0.882,-1.498,3.86,1.941,0.616,-1.498,-1.498,4
OOPP-Y,1.219,-0.669,-1.59,3.701,1.888,0.921,-1.59,-1.59,4
OOPP-Zn,4.147,3.975,0.475,0.773,0.172,3.5,0.475,0.172,2
CCSS-Ag,2.968,2.181,-0.086,1.952,0.787,2.267,-0.086,-0.086,4
CCSS-Au,2.64,1.206,-0.526,2.28,1.434,1.731,-0.526,-0.526,4
CCSS-Cd,3.342,2.617,0.293,1.578,0.726,2.324,0.293,0.293,4
CCSS-Co,3.268,1.875,0.647,1.653,1.392,1.228,0.647,0.647,4
CCSS-Cr,2.204,-0.517,-0.551,2.716,2.721,0.034,-0.551,-0.551,4
CCSS-Cu,4.032,3.174,1.207,0.888,0.858,1.967,1.207,0.858,2
CCSS-Fe,1.85,0.3,-0.608,3.07,1.55,0.908,-0.608,-0.608,4
CCSS-Hf,1.776,-0.054,-1.656,3.145,1.83,1.602,-1.656,-1.656,4
CCSS-Hg,4.362,3.182,1.182,0.558,1.18,1.999,1.182,0.558,1
CCSS-Ir,2.398,0.183,-0.424,2.522,2.215,0.607,-0.424,-0.424,4
CCSS-Mn,2.453,0.263,-0.308,2.467,2.19,0.571,-0.308,-0.308,4
CCSS-Nb,2.035,-1.253,-1.529,2.885,3.288,0.276,-1.529,-1.529,4
CCSS-Ni,4.004,2.762,1.213,0.916,1.242,1.549,1.213,0.916,1
CCSS-Os,2.527,0.839,-0.395,2.393,1.688,1.234,-0.395,-0.395,4
CCSS-Pd,3.41,2.023,0.255,1.51,1.387,1.768,0.255,0.255,4
CCSS-Pt,4.681,2.657,1.428,0.239,2.024,1.229,1.428,0.239,1
CCSS-Rh,3.282,1.059,0.064,1.638,2.222,0.995,0.064,0.064,4
CCSS-Ru,1.9,0.271,-0.562,3.02,1.629,0.833,-0.562,-0.562,4
CCSS-Sc,2.619,1.465,-0.719,2.301,1.154,2.184,-0.719,-0.719,4
CCSS-Ta,1.537,-1.505,-1.974,3.383,3.042,0.469,-1.974,-1.974,4
CCSS-Ti,1.976,-0.297,-1.458,2.944,2.273,1.161,-1.458,-1.458,4
CCSS-V,2.019,-1.154,-1.204,2.901,3.173,0.05,-1.204,-1.204,4
CCSS-Y,2.738,1.525,-0.745,2.182,1.213,2.269,-0.745,-0.745,4
CCSS-Zn,3.866,3.294,0.451,1.054,0.572,2.843,0.451,0.451,4
CCSS-Zr,2.108,-0.03,-1.23,2.812,2.138,1.2,-1.23,-1.23,4
NNSS-Au,3.205,2.603,-0.147,1.715,0.602,2.75,-0.147,-0.147,4
NNSS-Cd,3.736,3.229,0.665,1.184,0.507,2.564,0.665,0.507,2
NNSS-Co,3.869,2.688,1.27,1.051,1.181,1.418,1.27,1.051,1
SNNS-Co,3.951,2.302,0.794,0.969,1.649,1.508,0.794,0.794,4
NNSS-Cu,4.7,3.686,1.246,0.22,1.014,2.44,1.246,0.22,1
NNSS-Fe,3.574,1.987,0.335,1.346,1.588,1.652,0.335,0.335,4
NNSS-Ir,4.4,2.444,1.645,0.52,1.956,0.798,1.645,0.52,1
NNSS-Ni,4.521,3.35,2.071,0.399,1.171,1.279,2.071,0.399,1
NNSS-Os,3.285,0.569,0.436,1.635,2.716,0.133,0.436,0.133,3
NNSS-Pd,5.373,3.973,2.672,-0.453,1.4,1.3,2.672,-0.453,1
NNSS-Pt,5.685,3.718,2.573,-0.765,1.967,1.145,2.573,-0.765,1
NNSS-Rh,4.271,2.822,1.661,0.649,1.45,1.16,1.661,0.649,1
NNSS-Ru,3.118,0.632,1.28,1.802,2.485,-0.647,1.28,-0.647,3
NNSS-Sc,1.231,0.145,-1.738,3.689,1.086,1.883,-1.738,-1.738,4
NNSS-Ti,1.273,-1.947,-1.651,3.647,3.22,-0.296,-1.651,-1.651,4
NNSS-Y,1.571,0.597,-1.614,3.349,0.974,2.211,-1.614,-1.614,4
NNSS-Zn,2.744,2.269,-0.26,2.176,0.475,2.53,-0.26,-0.26,4
OOSS-Co,3.473,1.358,0.172,1.447,2.115,1.185,0.172,0.172,4
OOSS-Ir,1.834,-0.057,1.915,3.086,1.892,-1.972,1.915,-1.972,3
OOSS-Os,1.731,0.899,-0.774,3.189,0.831,1.674,-0.774,-0.774,4
OOSS-Pd,4.082,3.197,1.322,0.838,0.886,1.875,1.322,0.838,1
OOSS-Rh,3.449,1.89,0.582,1.471,1.559,1.308,0.582,0.582,4
OOSS-Y,1.484,-0.374,-1.306,3.436,1.858,0.932,-1.306,-1.306,4
OOSS-Zn,4.379,2.785,1.053,0.541,1.594,1.732,1.053,0.541,1
PPSS-Au,4.566,3.358,0.348,0.354,1.207,3.01,0.348,0.348,4
PPSS-Co,4.013,1.943,0.708,0.907,2.069,1.236,0.708,0.708,4
PPSS-Cu,3.027,2.066,-0.279,1.893,0.961,2.345,-0.279,-0.279,4
PPSS-Fe,3.602,1.584,0.136,1.318,2.019,1.448,0.136,0.136,4
PPSS-Ir,3.071,0.751,0.0,1.849,2.32,0.751,0.0,0.0,4
PPSS-Y,0.848,0.47,-1.356,4.072,0.378,1.826,-1.356,-1.356,4
PPSS-Zn,4.152,3.968,0.508,0.768,0.184,3.46,0.508,0.184,2
CCCB-Ag,4.161,3.182,0.847,0.759,0.979,2.335,0.847,0.759,1
CCCB-Cd,4.236,2.988,0.7,0.684,1.247,2.288,0.7,0.684,1
CCCB-Co,3.798,1.352,0.435,1.122,2.445,0.918,0.435,0.435,4
CCCB-Cr,2.544,-0.498,-0.878,2.376,3.042,0.381,-0.878,-0.878,4
CCCB-Fe,3.395,0.613,0.044,1.525,2.782,0.569,0.044,0.044,4
CCCB-Hf,1.5,-0.644,-2.01,3.42,2.144,1.366,-2.01,-2.01,4
CCCB-Hg,5.25,3.223,1.301,-0.33,2.027,1.922,1.301,-0.33,1
CCCB-Ir,3.38,0.561,-0.015,1.54,2.819,0.576,-0.015,-0.015,4
CCCB-Mn,2.927,-0.054,-0.434,1.993,2.981,0.38,-0.434,-0.434,4
CCCB-Mo,2.305,-0.955,-1.012,2.615,3.259,0.058,-1.012,-1.012,4
CCCB-Nb,1.953,-1.059,-1.386,2.967,3.012,0.327,-1.386,-1.386,4
CCCB-Ni,4.11,1.081,0.847,0.81,3.029,0.234,0.847,0.234,3
CCCB-Os,2.786,-0.442,-0.715,2.134,3.228,0.273,-0.715,-0.715,4
CCCB-Pd,4.177,2.732,0.929,0.743,1.445,1.803,0.929,0.743,1
CCCB-Pt,3.83,1.847,0.62,1.09,1.983,1.227,0.62,0.62,4
CCCB-Re,2.357,-1.005,-1.113,2.563,3.363,0.108,-1.113,-1.113,4
CCCB-Rh,3.737,1.405,0.324,1.183,2.332,1.081,0.324,0.324,4
CCCB-Ru,3.155,0.226,-0.151,1.765,2.929,0.377,-0.151,-0.151,4
CCCB-Sc,2.392,0.888,-1.009,2.529,1.504,1.897,-1.009,-1.009,4
CCCB-Ta,1.646,-1.302,-1.754,3.274,2.948,0.452,-1.754,-1.754,4
CCCB-Tc,2.779,-0.33,-0.579,2.141,3.11,0.249,-0.579,-0.579,4
CCCB-Ti,1.972,-0.76,-1.533,2.948,2.732,0.772,-1.533,-1.533,4
CCCB-V,2.16,-0.96,-1.255,2.76,3.119,0.296,-1.255,-1.255,4
CCCB-W,1.812,-1.408,-1.441,3.108,3.22,0.033,-1.441,-1.441,4
CCCB-Y,2.394,0.978,-0.945,2.526,1.416,1.923,-0.945,-0.945,4
CCCB-Zn,4.756,3.522,1.246,0.164,1.235,2.276,1.246,0.164,1
CCCB-Zr,1.928,-0.522,-1.679,2.992,2.45,1.157,-1.679,-1.679,4
CCCN-Ag,5.329,4.905,2.5,-0.409,0.424,2.405,2.5,-0.409,1
CCCN-Au,5.587,4.859,2.697,-0.667,0.728,2.162,2.697,-0.667,1
CCCN-Cd,4.337,3.471,1.036,0.583,0.866,2.435,1.036,0.583,1
CCCN-Co,3.775,1.487,0.571,1.145,2.288,0.916,0.571,0.571,4
CCCN-Cr,2.532,-1.019,-0.985,2.388,3.55,-0.034,-0.985,-0.985,4
CCCN-Cu,5.246,4.515,2.376,-0.326,0.73,2.139,2.376,-0.326,1
CCCN-Fe,3.703,0.74,0.352,1.217,2.963,0.389,0.352,0.352,4
CCCN-Hf,1.597,0.143,-1.955,3.323,1.454,2.098,-1.955,-1.955,4
CCCN-Hg,4.977,3.867,1.606,-0.057,1.11,2.262,1.606,-0.057,1
CCCN-Ir,3.516,0.561,0.369,1.404,2.956,0.191,0.369,0.191,3
CCCN-Mn,3.265,0.328,0.023,1.655,2.937,0.305,0.023,0.023,4
CCCN-Nb,1.849,-1.243,-1.583,3.071,3.093,0.34,-1.583,-1.583,4
CCCN-Ni,4.548,3.149,1.671,0.372,1.399,1.478,1.671,0.372,1
CCCN-Pd,4.463,3.155,1.476,0.457,1.308,1.679,1.476,0.457,1
CCCN-Pt,4.506,2.886,1.459,0.414,1.62,1.426,1.459,0.414,1
CCCN-Rh,3.809,1.315,0.698,1.111,2.494,0.617,0.698,0.617,3
CCCN-Ru,2.595,-0.323,-0.253,2.325,2.918,-0.071,-0.253,-0.253,4
CCCN-Sc,2.811,1.872,-0.52,2.109,0.939,2.392,-0.52,-0.52,4
CCCN-Ta,1.405,-1.73,-2.127,3.515,3.134,0.397,-2.127,-2.127,4
CCCN-Ti,1.903,-0.025,-1.507,3.017,1.929,1.482,-1.507,-1.507,4
CCCN-V,2.053,-1.357,-1.406,2.867,3.41,0.049,-1.406,-1.406,4
CCCN-Y,2.846,1.916,-0.605,2.074,0.929,2.522,-0.605,-0.605,4
CCCN-Zn,4.587,3.76,1.284,0.333,0.827,2.476,1.284,0.333,1
CCCN-Zr,1.877,0.26,-1.571,3.043,1.617,1.831,-1.571,-1.571,4
CCCO-Ag,4.58,3.473,1.329,0.34,1.107,2.144,1.329,0.34,1
CCCO-Au,4.633,3.185,1.257,0.287,1.448,1.928,1.257,0.287,1
CCCO-Cd,4.151,3.042,0.453,0.769,1.109,2.589,0.453,0.453,4
CCCO-Co,3.522,1.35,0.382,1.398,2.171,0.969,0.382,0.382,4
CCCO-Cr,2.617,-0.916,-0.819,2.303,3.533,-0.097,-0.819,-0.819,4
CCCO-Cu,4.821,3.533,1.508,0.099,1.288,2.025,1.508,0.099,1
CCCO-Fe,3.348,0.658,0.074,1.572,2.69,0.583,0.074,0.074,4
CCCO-Hf,1.512,-0.338,-2.002,3.408,1.851,1.663,-2.002,-2.002,4
CCCO-Hg,4.208,2.981,0.827,0.712,1.228,2.153,0.827,0.712,1
CCCO-Ir,3.225,0.613,-0.105,1.695,2.613,0.717,-0.105,-0.105,4
CCCO-Mn,3.191,0.368,-0.147,1.729,2.823,0.515,-0.147,-0.147,4
CCCO-Ni,4.605,2.818,1.494,0.315,1.787,1.324,1.494,0.315,1
CCCO-Os,2.645,-0.869,-0.567,2.275,3.514,-0.302,-0.567,-0.567,4
CCCO-Pd,4.283,2.637,1.221,0.637,1.646,1.416,1.221,0.637,1
CCCO-Pt,4.161,2.041,0.904,0.759,2.12,1.137,0.904,0.759,1
CCCO-Rh,3.526,1.305,0.242,1.394,2.222,1.062,0.242,0.242,4
CCCO-Ru,2.986,-0.151,-0.169,1.934,3.137,0.018,-0.169,-0.169,4
CCCO-Sc,2.525,1.553,-0.825,2.395,0.972,2.378,-0.825,-0.825,4
CCCO-Ta,1.369,-2.039,-2.326,3.551,3.408,0.288,-2.326,-2.326,4
CCCO-Ti,1.899,-0.529,-1.57,3.021,2.429,1.041,-1.57,-1.57,4
CCCO-V,2.142,-1.318,-1.357,2.778,3.46,0.039,-1.357,-1.357,4
CCCO-Y,2.657,1.757,-0.73,2.263,0.9,2.487,-0.73,-0.73,4
CCCO-Zn,4.365,3.21,0.884,0.555,1.155,2.326,0.884,0.555,1
CCCO-Zr,1.829,-0.166,-1.574,3.091,1.995,1.409,-1.574,-1.574,4
CCCP-Ag,4.832,3.726,1.444,0.088,1.106,2.282,1.444,0.088,1
CCCP-Au,5.743,3.477,2.084,-0.823,2.266,1.393,2.084,-0.823,1
CCCP-Cd,3.408,2.353,-0.189,1.512,1.055,2.542,-0.189,-0.189,4
CCCP-Co,3.588,1.189,0.176,1.332,2.399,1.013,0.176,0.176,4
CCCP-Fe,3.451,0.407,-0.011,1.469,3.044,0.418,-0.011,-0.011,4
CCCP-Hf,1.48,-0.085,-1.962,3.44,1.565,1.877,-1.962,-1.962,4
CCCP-Hg,4.222,3.203,0.75,0.698,1.019,2.453,0.75,0.698,1
CCCP-Ir,4.071,0.42,0.299,0.849,3.651,0.121,0.299,0.121,3
CCCP-Mn,2.997,0.021,-0.294,1.923,2.976,0.315,-0.294,-0.294,4
CCCP-Nb,1.884,-1.349,-1.546,3.036,3.233,0.196,-1.546,-1.546,4
CCCP-Ni,4.056,2.43,0.685,0.864,1.626,1.745,0.685,0.685,4
CCCP-Pd,4.059,2.788,0.724,0.861,1.271,2.063,0.724,0.724,4
CCCP-Pt,4.58,2.305,0.777,0.34,2.275,1.528,0.777,0.34,1
CCCP-Ru,2.738,-0.272,-0.558,2.182,3.01,0.286,-0.558,-0.558,4
CCCP-Sc,2.646,1.273,-0.754,2.274,1.374,2.026,-0.754,-0.754,4
CCCP-Ti,1.824,-0.311,-1.637,3.096,2.135,1.326,-1.637,-1.637,4
CCCP-Y,2.663,1.386,-0.736,2.257,1.277,2.122,-0.736,-0.736,4
CCCP-Zn,4.268,3.144,0.774,0.652,1.124,2.369,0.774,0.652,1
CCCS-Ag,4.961,3.737,1.598,-0.041,1.223,2.139,1.598,-0.041,1
CCCS-Au,5.003,3.687,1.677,-0.083,1.316,2.01,1.677,-0.083,1
