true,pred,error
-0.4894290268421173,-0.4838672876358032,-0.005561739206314087
-0.2502111792564392,-0.260625958442688,0.01041477918624878
-0.42448076605796814,-0.4280346632003784,0.0035538971424102783
-0.2650407552719116,-0.2591705024242401,-0.005870252847671509
-0.42206957936286926,-0.4195944666862488,-0.0024751126766204834
-0.45847073197364807,-0.46694856882095337,0.008477836847305298
-0.6048836708068848,-0.5986400842666626,-0.006243586540222168
-0.6168347597122192,-0.6377140879631042,0.02087932825088501
-0.4605664908885956,-0.45711860060691833,-0.003447890281677246
-0.6192778944969177,-0.6140673756599426,-0.005210518836975098
-0.32150235772132874,-0.295016348361969,-0.02648600935935974
-0.4465133249759674,-0.4361472725868225,-0.010366052389144897
-0.6393139958381653,-0.6400688886642456,0.0007548928260803223
-0.6466424465179443,-0.6532598733901978,0.006617426872253418
-0.3743096590042114,-0.30049797892570496,-0.07381168007850647
-0.42468902468681335,-0.41977542638778687,-0.004913598299026489
-0.6283299326896667,-0.6378052234649658,0.009475290775299072
-0.6074292063713074,-0.6051927804946899,-0.0022364258766174316
-0.24728508293628693,-0.25728824734687805,0.010003164410591125
-0.2812548279762268,-0.258760929107666,-0.02249389886856079
-0.5636787414550781,-0.5853524208068848,0.02167367935180664
-0.613289475440979,-0.5987513065338135,-0.014538168907165527
-0.6745144724845886,-0.687957227230072,0.013442754745483398
-0.5499932169914246,-0.5456612706184387,-0.00433194637298584
-0.721735417842865,-0.7265864610671997,0.004851043224334717
-0.6009473204612732,-0.6170924305915833,0.01614511013031006
-0.29045340418815613,-0.26427769660949707,-0.026175707578659058
-0.47983476519584656,-0.45767369866371155,-0.02216106653213501
-0.48008283972740173,-0.5099819898605347,0.029899150133132935
-0.6450648307800293,-0.6496149897575378,0.004550158977508545
-0.5883898138999939,-0.6236060857772827,0.03521627187728882
-0.4431222081184387,-0.435162752866745,-0.007959455251693726
-0.6153767704963684,-0.5969904065132141,-0.018386363983154297
-0.42162764072418213,-0.29755309224128723,-0.1240745484828949
-0.2852367162704468,-0.29183071851730347,0.0065940022468566895
-0.4618407189846039,-0.4773646295070648,0.015523910522460938
-0.61664879322052,-0.5996430516242981,-0.017005741596221924
-0.581514835357666,-0.583470344543457,0.0019555091857910156
-0.6166322231292725,-0.6102034449577332,-0.006428778171539307
-0.5838664174079895,-0.5958290696144104,0.011962652206420898
-0.6842187643051147,-0.6879919767379761,0.003773212432861328
-0.7772866487503052,-0.7752050161361694,-0.002081632614135742
-0.25639447569847107,-0.26274120807647705,0.0063467323780059814
-0.2697473168373108,-0.261104553937912,-0.008642762899398804
-0.4415052533149719,-0.4288685917854309,-0.012636661529541016
-0.4570571184158325,-0.48040783405303955,0.02335071563720703
-0.7454186081886292,-0.7350366115570068,-0.010381996631622314
-0.2608851492404938,-0.2606446444988251,-0.00024050474166870117
-0.27442502975463867,-0.26428458094596863,-0.010140448808670044
-0.4782400131225586,-0.470085084438324,-0.00815492868423462
-0.6908482909202576,-0.6768275499343872,-0.014020740985870361
-0.4024505019187927,-0.29706454277038574,-0.10538595914840698
-0.6265895366668701,-0.6398096680641174,0.013220131397247314
-0.4419141411781311,-0.4287986755371094,-0.013115465641021729
-0.42350253462791443,-0.4244098365306854,0.0009073019027709961
-0.6172679662704468,-0.6022562980651855,-0.01501166820526123
-0.41116052865982056,-0.4223375618457794,0.011177033185958862
-0.47335824370384216,-0.465938538312912,-0.007419705390930176
-0.43365806341171265,-0.428061306476593,-0.005596756935119629
-0.28657010197639465,-0.25863808393478394,-0.027932018041610718
-0.6744518876075745,-0.67344069480896,-0.001011192798614502
-0.7311257123947144,-0.7246597409248352,-0.00646597146987915
-0.4601486027240753,-0.46578386425971985,0.005635261535644531
-0.5905027389526367,-0.6238720417022705,0.03336930274963379
