true,pred,error
-0.5883695483207703,-0.5892872214317322,0.0009176731109619141
-0.5907765030860901,-0.5893327593803406,-0.0014437437057495117
-0.2546364963054657,-0.2529229521751404,-0.0017135441303253174
-0.24935699999332428,-0.2698909044265747,0.020533904433250427
-0.4914720952510834,-0.46860015392303467,-0.022871941328048706
-0.24610191583633423,-0.2582991421222687,0.012197226285934448
-0.2546725869178772,-0.2654098570346832,0.01073727011680603
-0.27393195033073425,-0.2579940855503082,-0.015937864780426025
-0.4211517572402954,-0.4249427914619446,0.00379103422164917
-0.5817897915840149,-0.6047421097755432,0.02295231819152832
-0.4693158268928528,-0.473859578371048,0.00454375147819519
-0.6166322231292725,-0.5989486575126648,-0.017683565616607666
-0.47335824370384216,-0.4638271629810333,-0.009531080722808838
-0.24693366885185242,-0.263191819190979,0.016258150339126587
-0.2717440128326416,-0.26630526781082153,-0.005438745021820068
-0.28141891956329346,-0.2579837441444397,-0.02343517541885376
-0.456280916929245,-0.4725484549999237,0.01626753807067871
-0.4595538079738617,-0.4655856788158417,0.0060318708419799805
-0.2666020393371582,-0.26117533445358276,-0.0054267048835754395
-0.4782400131225586,-0.4685750901699066,-0.009664922952651978
-0.660671055316925,-0.6460535526275635,-0.014617502689361572
-0.6569152474403381,-0.6401940584182739,-0.01672118902206421
-0.43365806341171265,-0.4270334839820862,-0.006624579429626465
-0.2496790885925293,-0.2557745575904846,0.006095468997955322
-0.6119619607925415,-0.5974222421646118,-0.014539718627929688
-0.6153767704963684,-0.5934825539588928,-0.021894216537475586
-0.4386313855648041,-0.4607731103897095,0.022141724824905396
-0.4396732747554779,-0.42520490288734436,-0.014468371868133545
-0.2812548279762268,-0.2604002356529236,-0.020854592323303223
-0.42350253462791443,-0.4286331832408905,0.005130648612976074
-0.4812871217727661,-0.4682560861110687,-0.013031035661697388
-0.6761675477027893,-0.6608383059501648,-0.015329241752624512
-0.24790148437023163,-0.2631070613861084,0.01520557701587677
-0.6088817119598389,-0.642886221408844,0.03400450944900513
-0.4360238313674927,-0.4241652488708496,-0.011858582496643066
-0.6273359656333923,-0.6348453760147095,0.007509410381317139
-0.46708834171295166,-0.46386492252349854,-0.003223419189453125
-0.25320592522621155,-0.26572680473327637,0.01252087950706482
-0.24557939171791077,-0.26425400376319885,0.018674612045288086
-0.445769727230072,-0.432122141122818,-0.013647586107254028
-0.5743448138237,-0.5892924666404724,0.014947652816772461
-0.4375343322753906,-0.4638015031814575,0.026267170906066895
-0.6014626026153564,-0.6018394231796265,0.00037682056427001953
-0.4601486027240753,-0.46380409598350525,0.0036554932594299316
-0.43054309487342834,-0.43078717589378357,0.0002440810203552246
-0.5814645290374756,-0.5850886106491089,0.0036240816116333008
-0.2460046112537384,-0.26065391302108765,0.014649301767349243
-0.4391542971134186,-0.4240863025188446,-0.015067994594573975
-0.40171098709106445,-0.4229806065559387,0.021269619464874268
-0.6466424465179443,-0.646091639995575,-0.0005508065223693848
-0.5455855131149292,-0.5930483341217041,0.0474628210067749
-0.2503589689731598,-0.2663034498691559,0.015944480895996094
-0.6179646849632263,-0.6400347948074341,0.022070109844207764
