catalyst,attached_energy_ev,carrier_energy_ev,O2_energy_ev,OOH_energy_ev,d_band_center,bader_charge
Ag@C1O2P1-opp,-63870.56403,-59874.86892,-67953.63437,-67986.67058,-0.437534346,0.529594
Ag@C1O2P1-pen,-63870.93891,-59874.56245,-67954.31063,-67987.32482,-0.47335823,0.369453
Ag@C1O2S1-hex,-65416.72785,-61422.01023,-69499.81946,-69532.79789,-0.479391596,0.775673
Ag@C1O2S1-opp,-65416.43452,-61422.19811,-69499.54097,-69532.48186,-0.435387272,0.721996
Ag@C1O2S1-pen,-65416.55106,-61421.92545,-69499.31614,-69532.67933,-0.460566477,0.739886
Ag@C2N1,-55083.78734,-51104.61115,-59167.00389,-59199.55836,-0.678645129,0.451763
Ag@C2N1O1-hex,-55077.54368,-51077.08062,-59160.70430,-59193.60097,-0.430098249,0.79753
Ag@C2N1O1-opp,-55076.43186,-51075.89229,-59159.74432,-59192.40105,-0.455120099,0.896887
Ag@C2N1O1-pen,-55077.16459,-51076.48644,-59160.42936,-59193.48797,-0.431703967,0.825168
Ag@C2N1P1-hex,-62309.44446,-58310.14336,-66392.77342,-66425.81765,-0.487270196,0.416564
Ag@C2N1P1-opp,-62309.76374,-58310.33694,-66392.91180,-66425.65143,-0.473686148,0.297491
Ag@C2N1P1-pen,-62309.47035,-58310.49875,-66392.32514,-66425.54212,-0.487531154,0.374731
Ag@C2N1S1-hex,-63855.66187,-59857.03402,-67938.91175,-67971.85976,-0.486972742,0.674147
Ag@C2N1S1-opp,-63855.35627,-59856.21975,-67938.51071,-67971.43354,-0.486193497,0.727477
Ag@C2N1S1-pen,-63855.36122,-59856.42858,-67938.16802,-67971.47105,-0.489429038,0.70614
Ag@C2N2-hex,-54522.88667,-50521.04974,-58606.01843,-58638.94320,-0.435342943,0.800605
Ag@C2N2-opp,-54522.12736,-50520.61261,-58605.58507,-58638.29026,-0.446513336,0.879889
Ag@C2N2-pen,-54522.73576,-50520.64170,-58605.87645,-58638.94833,-0.434116041,0.837898
Ag@C2O1P1-hex,-62864.25921,-58865.68788,-66947.00777,-66980.11491,-0.461840721,0.425317
Ag@C2O1P1-opp,-62864.16374,-58865.89327,-66947.41991,-66980.45702,-0.47759488,0.251632
Ag@C2O1P1-pen,-62863.71514,-58865.35581,-66947.04389,-66979.82733,-0.464963254,0.347575
Ag@C2O1S1-hex,-64409.97863,-60413.10529,-68493.18315,-68525.96686,-0.476539231,0.655989
Ag@C2O1S1-opp,-64409.35922,-60411.81891,-68492.48679,-68525.62582,-0.49147209,0.729198
Ag@C2O1S1-pen,-64409.20800,-60411.98481,-68492.42759,-68525.37817,-0.478240009,0.699627
Ag@C2O2-hex,-55631.99815,-51632.96429,-59715.07734,-59748.06354,-0.439673277,0.765345
Ag@C2O2-opp,-55630.09037,-51631.69742,-59713.01561,-59746.53685,-0.424689035,0.88843
Ag@C2O2-pen,-55631.28231,-51632.01693,-59714.58789,-59747.30800,-0.439379141,0.820285
Ag@C3N1,-54069.41591,-50067.44596,-58152.31033,-58185.57108,-0.436194159,0.749997
Ag@C3O1,-54624.19883,-50623.27433,-58707.39508,-58740.38478,-0.424036574,0.740698
Ag@N1O1P1,-64320.01693,-60356.52826,-68402.89488,-68435.73855,-0.702651685,-0.053759
Ag@N1O1S1,-65865.18782,-61903.12622,-69948.31654,-69981.04046,-0.727831207,-0.000202
Ag@N1O2,-57094.49159,-53123.53789,-61177.93287,-61210.38044,-0.655780564,1.046748
Ag@N1O2P1-hex,-64324.08315,-60329.04887,-68406.97040,-68440.13262,-0.467088344,0.493055
Ag@N1O2P1-opp,-64323.98678,-60328.95496,-68406.75415,-68440.01103,-0.434244359,0.498415
Ag@N1O2P1-pen,-64323.65277,-60328.58522,-68406.44228,-68439.58060,-0.4601486,0.486305
Ag@N1O2S1-hex,-65869.49467,-61875.94940,-69952.61243,-69985.69277,-0.450936221,0.816051
Ag@N1O2S1-opp,-65869.76981,-61876.35338,-69953.01327,-69985.99061,-0.426749062,0.762851
Ag@N1O2S1-pen,-65869.48741,-61876.17863,-69952.70439,-69985.51880,-0.438631384,0.770564
Ag@N2O1,-56541.10547,-52567.09525,-60624.11437,-60656.91557,-0.656351358,1.064853
Ag@N2O1P1-hex,-63769.63545,-59772.85543,-67852.84854,-67885.88146,-0.456280924,0.52815
Ag@N2O1P1-opp,-63769.96192,-59773.36574,-67853.17529,-67886.00648,-0.526338467,0.486136
Ag@N2O1P1-pen,-63769.44552,-59772.94867,-67852.47298,-67885.37151,-0.523901154,0.508401
Ag@N2O1S1-hex,-65315.23617,-61320.16481,-69398.46330,-69431.42262,-0.458470735,0.831302
Ag@N2O1S1-opp,-65315.14401,-61320.09790,-69398.40508,-69431.37427,-0.460419807,0.854499
Ag@N2O1S1-pen,-65314.79903,-61320.00461,-69398.09343,-69430.90772,-0.453592142,0.841585
Ag@N2O2-hex,-56536.97773,-52540.20351,-60619.84790,-60653.00329,-0.411160514,0.952726
Ag@N2O2-opp,-56536.82251,-52539.77102,-60620.22748,-60653.08908,-0.401710983,0.959973
Ag@N2O2-pen,-56536.93128,-52540.04530,-60620.26710,-60653.11028,-0.409145131,0.964626
Ag@N2P1,-63766.27927,-59800.80784,-67849.62037,-67882.13373,-0.692034566,-0.087626
Ag@N2P1S1-opp,-72547.53940,-68553.50798,-76630.89238,-76663.68171,-0.549993221,0.407307
Ag@N2S1,-65311.24235,-61347.40318,-69394.29093,-69427.07401,-0.731125695,-0.041796
Ag@N3,-55987.57435,-52011.21939,-60070.22299,-60103.31913,-0.652293802,1.054883
Ag@N3S1,-64760.88413,-60764.18862,-68843.95110,-68877.07959,-0.468618811,0.874583
Ag@O2P1,-64874.02951,-60912.40660,-68957.02312,-68989.89043,-0.703482769,-0.07578
Ag@O2P1S1-hex,-73655.47092,-69663.92456,-77738.71528,-77771.55259,-0.582327929,0.370727
Ag@O2P1S1-pen,-73655.82860,-69664.29050,-77739.16234,-77771.95609,-0.48008284,0.344851
Cd@B1C1N1,-55285.08714,-50745.54186,-59368.33400,-59401.01605,-0.760233846,0.461486
Cd@B1C1N1O1,-55280.55597,-50717.57593,-59363.63211,-59396.70479,-0.619277908,0.845892
Cd@B1C1N1S1,-64057.35090,-59497.44615,-68140.67453,-68173.46472,-0.648699006,0.691528
Cd@B1C1N2-hex,-54725.77311,-50161.48363,-58808.78641,-58841.98919,-0.600947349,0.845878
Cd@B1C1N2-opp,-54724.91041,-50161.46741,-58808.39883,-58841.21034,-0.605077699,0.957133
Cd@B1C1N2-pen,-54725.29537,-50161.24474,-58808.73051,-58841.56626,-0.601462584,0.866775
Cd@B1C1O2-hex,-55834.75254,-51273.49656,-59917.78134,-59950.97043,-0.631432822,0.830435
Cd@B1C1O2-opp,-55833.78666,-51272.43392,-59916.59344,-59949.74213,-0.582748958,0.899213
Cd@B1C1O2-pen,-55833.74558,-51272.01802,-59916.58506,-59949.69899,-0.627685666,0.878059
Cd@B1C2N1-hex,-54271.57024,-49707.85107,-58354.59535,-58387.76102,-0.590502765,0.827988
Cd@B1C2N1-opp,-54272.32393,-49707.51981,-58355.78564,-58388.50872,-0.581789789,0.770945
Cd@B1C2N1-pen,-54272.30620,-49707.77475,-58355.50276,-58388.48291,-0.588389805,0.813202
Cd@B1C2O1-hex,-54825.51762,-50262.81658,-58908.79696,-58941.89015,-0.599941875,0.825339
Cd@B1C2O1-pen,-54826.85789,-50263.54696,-58910.20509,-58943.40316,-0.602701741,0.799232
Cd@B1N1O1,-56291.37040,-51754.87312,-60374.15605,-60406.92512,-0.768913615,0.78533
Cd@B1N1O2-hex,-56286.85943,-51727.02829,-60370.12437,-60402.97401,-0.617210838,0.957824
Cd@B1N1O2-opp,-56287.40820,-51726.52748,-60370.38365,-60403.35699,-0.591224293,0.951234
