catalyst,attached_energy_ev,carrier_energy_ev,O2_energy_ev,OOH_energy_ev,d_band_center,bader_charge
Co@C1N2S1-opp,-97930.43994,-60310.54975,-102013.53709,-102046.60942,-0.281418907,0.737886
Co@C1N2S1-pen,-97930.49153,-60310.48245,-102013.79619,-102046.50071,-0.273931945,0.822757
Co@C1N3,-88596.12486,-50974.28955,-92679.04430,-92712.45232,-0.283068288,0.839411
Co@C1O1P1S1,-106272.65368,-68654.11810,-110355.68284,-110388.63402,-0.251957051,1.043617
Co@C1O1S1,-99052.80524,-61449.69728,-103136.25742,-103168.54558,-0.317807066,-0.482308
Co@C1O2,-90278.00223,-52669.65296,-94361.41566,-94393.81166,-0.299915056,0.46007
Co@C1O2P1-hex,-97493.83989,-59875.89684,-101576.53863,-101609.77631,-0.254661008,-0.290539
Co@C1O2P1-opp,-97492.80432,-59874.86892,-101575.53010,-101609.02678,-0.258143599,0.723502
Co@C1O2S1-hex,-99039.60661,-61422.05567,-103122.87665,-103155.74589,-0.262753398,0.619133
Co@C1O2S1-opp,-99039.10133,-61422.20257,-103122.29780,-103155.41972,-0.247874481,0.684553
Co@C1O2S1-pen,-99039.34848,-61422.00347,-103122.69848,-103155.47927,-0.246933676,0.610053
Co@C2N1,-88718.78086,-51104.61115,-92802.11984,-92834.79227,-0.296147701,0.699142
Co@C2N1O1-hex,-88697.72959,-51077.08062,-92780.71928,-92813.70813,-0.248413637,0.718632
Co@C2N1O1-opp,-88696.77622,-51075.89047,-92779.98101,-92813.02850,-0.253627075,0.698348
Co@C2N1O1-pen,-88697.44862,-51076.48644,-92780.67340,-92813.61371,-0.249356994,0.486518
Co@C2N1P1-hex,-95930.68368,-58310.31437,-100013.64112,-100046.55826,-0.281839217,0.945331
Co@C2N1P1-opp,-95930.62434,-58310.30091,-100013.71258,-100046.71225,-0.250211174,1.010329
Co@C2N1P1-pen,-95930.56435,-58310.40249,-100013.07330,-100046.60160,-0.260885155,0.970183
Co@C2N1S1-hex,-97477.15809,-59857.03402,-101560.32536,-101593.06505,-0.269747303,0.705376
Co@C2N1S1-opp,-97477.00458,-59856.54684,-101560.11869,-101593.21234,-0.247901478,0.710006
Co@C2N1S1-pen,-97476.94624,-59856.42858,-101559.96785,-101592.97928,-0.273855298,0.716986
Co@C2N2-hex,-88142.78534,-50520.90597,-92225.96636,-92259.02365,-0.253208755,0.753701
Co@C2N2-opp,-88142.33780,-50520.38635,-92225.59293,-92258.73030,-0.25639449,0.782056
Co@C2N2-pen,-88142.68928,-50520.70423,-92226.07260,-92258.88285,-0.255758792,0.78849
Co@C2O1,-89271.93843,-51660.20491,-93355.17563,-93387.82838,-0.296257383,0.984374
Co@C2O1P1-opp,-96485.36817,-58865.89327,-100568.11589,-100601.61009,-0.259003206,1.022545
Co@C2O1P1-pen,-96484.96868,-58865.35581,-100567.96486,-100601.04808,-0.257729768,0.495345
Co@C2O1S1-hex,-98031.72500,-60413.43032,-102115.20337,-102148.03851,-0.255790973,0.672802
Co@C2O1S1-opp,-98031.70560,-60412.06483,-102114.91682,-102147.83830,-0.253205916,0.639418
Co@C2O1S1-pen,-98031.36042,-60411.97483,-102114.42912,-102147.40756,-0.260534062,0.690859
Co@C2O2-hex,-89252.33945,-51633.16652,-93335.32056,-93368.25935,-0.244834024,0.717309
Co@C2O2-opp,-89251.33594,-51631.69745,-93334.46344,-93367.13299,-0.241655632,0.758908
Co@C2O2-pen,-89251.83406,-51631.97091,-93335.03631,-93367.98202,-0.284565321,0.73057
Co@C3N1,-87689.22383,-50067.44596,-91772.46727,-91805.48770,-0.279574878,0.864727
Co@C3O1,-88244.14041,-50623.26876,-92326.96196,-92360.17607,-0.29045339,0.950626
Co@N1O1P1,-97959.46853,-60356.52826,-102042.80021,-102075.27051,-0.305312229,0.92295
Co@N1O1S1,-99505.53590,-61903.12622,-103588.74262,-103621.31377,-0.316051937,0.945919
Co@N1O2,-90730.31678,-53123.53789,-94813.25048,-94846.36474,-0.285236707,0.936716
Co@N1O2P1-hex,-97946.57452,-60329.04667,-102029.37256,-102062.78115,-0.261566241,-0.302123
Co@N1O2P1-opp,-97946.34998,-60329.10441,-102029.51734,-102062.36816,-0.243149755,-0.077022
Co@N1O2P1-pen,-97946.39430,-60328.60351,-102029.48700,-102062.36472,-0.24272809,0.92792
Co@N1O2S1-pen,-99492.35466,-61876.22085,-103575.43890,-103608.46621,-0.24610191,0.639946
Co@N2O1P1-opp,-97392.23057,-59773.36574,-101475.49703,-101508.52421,-0.24913919,-1.206041
Co@N2O1P1-pen,-97391.63390,-59772.94867,-101475.02967,-101507.90366,-0.24156544,0.924038
Co@N2O1S1-hex,-98938.27798,-61320.41051,-103020.93724,-103054.29587,-0.24753572,0.6938
Co@N2O1S1-opp,-98938.21349,-61320.21577,-103021.49529,-103054.49940,-0.2504369,0.702525
Co@N2O1S1-pen,-98937.96379,-61319.85826,-103021.20608,-103054.07078,-0.249679083,0.712147
Co@N2O2-hex,-90158.17475,-52540.20351,-94241.44957,-94274.41529,-0.26660205,0.760634
Co@N2O2-opp,-90158.09247,-52539.77055,-94241.28550,-94274.16095,-0.256839332,0.77938
Co@N2O2-pen,-90158.45700,-52540.09605,-94241.67766,-94274.43533,-0.241526043,0.776075
Co@N2P1S1-hex,-106171.79069,-68552.54581,-110254.92402,-110287.61943,-0.249510045,0.966548
Co@N2P1S1-opp,-106171.73038,-68553.50798,-110254.96843,-110287.90755,-0.254636484,0.95423
Co@N2P1S1-pen,-106171.70609,-68553.02741,-110255.16927,-110287.91540,-0.247285086,-0.281143
Co@N2S1,-98951.76744,-61347.32157,-103034.88785,-103067.46510,-0.317377149,0.534126
Co@N3,-89623.62019,-52011.21970,-93706.84608,-93739.49687,-0.300117851,0.547525
Co@N3O1,-89604.14869,-51984.07376,-93687.36261,-93720.10044,-0.268162569,0.525506
Co@N3P1,-96837.35447,-59217.16272,-100920.65000,-100953.48527,-0.254333779,-0.063655
