catalyst,attached_energy_ev,carrier_energy_ev,O2_energy_ev,OOH_energy_ev,d_band_center,bader_charge,,property
Cd@C1N1P1S1,-72655.56339,-68098.81777,-76738.76082,-76771.61609,-0.692624162,1.196149,,-3.19743
Cd@C1N2O1-hex,-56092.84771,-51529.85206,-60176.18462,-60209.14066,-0.570250256,0.133369,,-3.33691
Cd@C1N2O1-opp,-56093.07321,-51530.46853,-60176.50979,-60209.303,-0.590776516,1.03471,,-3.43658
Cd@C1N2O1-pen,-56093.46662,-51530.64855,-60176.38003,-60209.53332,-0.582274334,1.178469,,-2.91341
Cd@C1N2P1-hex,-63325.24601,-58764.23229,-67408.28822,-67441.2144,-0.656529961,1.237142,,-3.04221
Cd@C1N2P1-opp,-63324.55277,-58763.62469,-67407.80399,-67440.6238,-0.636403591,1.218586,,-3.25122
Cd@C1N2P1-pen,-63324.74715,-58763.69737,-67407.901,-67441.04851,-0.653080645,0.7415,,-3.15385
Cd@C1N2S1-hex,-64870.21557,-60310.32546,-68953.70868,-68986.27114,-0.640704494,0.901253,,-3.49311
Cd@C1N2S1-opp,-64870.28213,-60310.66568,-68953.5622,-68986.45871,-0.640581789,0.784843,,-3.28007
Cd@C1N2S1-pen,-64870.32177,-60310.6771,-68953.56106,-68986.46036,-0.637222839,1.089344,,-3.23929
Cd@C1N3,-55538.56975,-50974.28955,-59621.64806,-59654.72539,-0.588324093,1.105899,,-3.07831
Cd@C1O1P1S1,-73209.58417,-68654.1181,-77292.75354,-77325.75082,-0.683388149,1.233048,,-3.16937
Cd@C1O2P1-hex,-64433.43816,-59875.89684,-68516.66779,-68549.41265,-0.659482768,0.19312,,-3.22963
Cd@C1O2P1-opp,-64433.7305,-59874.86892,-68517.2094,-68550.17809,-0.598886976,1.113831,,-3.4789
Cd@C1O2P1-pen,-64433.11417,-59874.56245,-68516.4336,-68549.18115,-0.627335958,0.816149,,-3.31943
Cd@C1O2S1-hex,-65979.01838,-61422.11946,-70062.09187,-70094.90664,-0.639314012,0.83675,,-3.07349
Cd@C1O2S1-opp,-65979.64641,-61422.13008,-70062.98676,-70095.89962,-0.626589544,0.864394,,-3.34035
Cd@C1O2S1-pen,-65979.42537,-61422.09147,-70062.62507,-70095.468,-0.62796773,1.100066,,-3.1997
Cd@C2N1O1-hex,-55640.15832,-51077.08062,-59723.18502,-59756.3189,-0.615376749,1.066838,,-3.0267
Cd@C2N1O1-opp,-55639.41752,-51075.89047,-59722.41496,-59755.45283,-0.583866424,0.803938,,-2.99744
Cd@C2N1P1-hex,-62872.12501,-58310.15311,-66955.12232,-66988.1493,-0.650751441,1.133251,,-2.99731
Cd@C2N1P1-opp,-62872.29156,-58310.33694,-66955.0995,-66988.38649,-0.649687728,1.144143,,-2.80794
Cd@C2N1P1-pen,-62871.65448,-58310.30258,-66955.04651,-66987.92976,-0.650410496,0.763381,,-3.39203
Cd@C2N1S1-hex,-64417.50521,-59857.03402,-68500.56499,-68533.70366,-0.660671031,0.622472,,-3.05978
Cd@C2N1S1-opp,-64417.1766,-59856.56161,-68500.47196,-68533.24089,-0.646642433,0.724872,,-3.29536
Cd@C2N1S1-pen,-64417.04013,-59856.42858,-68500.0661,-68533.25102,-0.659944015,0.984789,,-3.02597
Cd@C2N2-hex,-55083.61748,-50521.04974,-59169.32374,-59202.03741,-0.6166488,1.015406,,-5.70626
Cd@C2N2-opp,-55082.92755,-50520.61261,-59168.49345,-59201.17759,-0.604883662,1.011428,,-5.5659
Cd@C2N2-pen,-55085.56209,-50520.6417,-59168.94349,-59201.76263,-0.61328949,1.118624,,-3.3814
Cd@C2O1P1-hex,-63426.02416,-58865.68788,-67508.93525,-67542.36876,-0.656915255,1.156213,,-2.91109
Cd@C2O1P1-opp,-63426.23361,-58865.89327,-67509.31762,-67542.33744,-0.658462938,0.85398,,-3.08401
Cd@C2O1S1-hex,-64971.93979,-60413.1685,-69054.81168,-69087.82075,-0.651620794,0.634294,,-2.87189
Cd@C2O1S1-opp,-64971.5302,-60412.14045,-69054.50975,-69087.59872,-0.633027598,0.721903,,-2.97955
Cd@C2O1S1-pen,-64971.16183,-60411.9761,-69054.28625,-69087.159,-0.645064843,0.975375,,-3.12442
Cd@C2O2-opp,-56193.95468,-51631.69745,-60277.43424,-60310.04658,-0.545585484,1.010098,,-3.47956
Cd@C3O1,-55187.2589,-50623.26876,-59270.37457,-59303.16463,-0.617267979,1.135338,,-3.11567
Cd@N1O2P1-hex,-64886.69702,-60329.15358,-68969.81655,-69002.68854,-0.628329915,0.170262,,-3.11953
Cd@N1O2P1-pen,-64886.75715,-60328.80617,-68969.90876,-69002.8959,-0.616834749,1.417067,,-3.15161
Cd@N1O2S1-hex,-66432.74618,-61875.90414,-70515.7617,-70548.58638,-0.643779989,0.964367,,-3.01552
Cd@N2O1P1-hex,-64332.505,-59772.85543,-68415.72145,-68448.64799,-0.606056955,1.186475,,-3.21645
Cd@N2O1P1-pen,-64332.07053,-59772.94867,-68415.28329,-68448.23262,-0.612548562,1.302948,,-3.21276
Cd@N2O1S1-hex,-65878.5041,-61320.26157,-69961.66822,-69994.43137,-0.623175612,0.934763,,-3.16412
Cd@N2O1S1-opp,-65878.24139,-61320.21577,-69961.44827,-69994.39756,-0.622466186,0.976605,,-3.20688
Cd@N2O1S1-pen,-65878.17366,-61320.03855,-69961.41479,-69994.09235,-0.621297447,0.933744,,-3.24113
Cd@N2O2-hex,-57101.19506,-52540.02458,-61184.54703,-61217.37347,-0.581514824,1.166602,,-3.35197
Cd@N2O2-opp,-57101.76964,-52539.77055,-61184.66766,-61217.65317,-0.577194445,1.176371,,-2.89802
Cd@N2O2-pen,-57101.41007,-52540.0453,-61184.5951,-61217.55288,-0.581464507,1.161571,,-3.18503
Cd@N2P1S1-hex,-73108.60432,-68552.54581,-77191.69038,-77224.49336,-0.67451447,1.278857,,-3.08606
Cd@N2P1S1-opp,-73109.109,-68553.50798,-77192.25428,-77225.16812,-0.671273208,1.304995,,-3.14528
Cd@N2P1S1-pen,-73109.07723,-68553.02742,-77192.33687,-77225.09087,-0.671601628,0.147904,,-3.25964
Cd@N3O1,-56546.91338,-51984.27845,-60629.89428,-60662.85871,-0.563678752,0.798754,,-2.9809
Cd@N3P1,-63777.71604,-59217.19888,-67860.87453,-67893.71325,-0.62176217,0.389086,,-3.15849
Cd@N3S1,-65323.6742,-60764.27475,-69406.91496,-69439.63712,-0.608881741,1.235593,,-3.24076
Cd@N4,-55991.92009,-51427.83064,-60074.97758,-60108.06567,-0.564269305,1.27601,,-3.05749
Cd@O2P1S1-hex,-74217.03232,-69663.92456,-78300.33894,-78333.07692,-0.67616757,1.270662,,-3.30662
Cd@O2P1S1-opp,-74218.50379,-69664.66775,-78301.29439,-78334.6579,-0.674451894,-0.759191,,-2.7906
Cd@O2P1S1-pen,-74218.03598,-69664.2905,-78300.89013,-78334.1334,-0.678740432,0.242081,,-2.85415
Co@B1C1N1O1,-88336.89827,-50717.57593,-92420.11661,-92453.06882,-0.282754256,0.820825,,-3.21834
Co@B1C1N1S1,-97115.90745,-59497.44615,-101198.9945,-101231.8097,-0.254672581,0.57823,,-3.08708
Co@B1C1N2-hex,-87781.99287,-50161.48363,-91864.80754,-91898.07776,-0.24359621,0.03146,,-2.81467
Co@B1C1N2-opp,-87781.76843,-50161.46741,-91864.58112,-91897.89415,-0.288577504,0.762135,,-2.81269
Co@B1C1N2-pen,-87781.68271,-50161.24474,-91864.35022,-91897.82479,-0.247407115,0.592542,,-2.66751
Co@B1C1O1S1,-97670.40687,-60053.24075,-101753.606,-101786.599,-0.253460034,0.803237,,-3.19914
Co@B1C1O2-hex,-88891.30771,-51273.49656,-92974.29208,-93007.53378,-0.286795277,0.811215,,-2.98437
Co@B1C1O2-opp,-88890.8111,-51272.43392,-92973.93286,-93006.78986,-0.286570114,0.060742,,-3.12176
Co@B1C1O2-pen,-88890.54251,-51272.01802,-92973.54994,-93007.03178,-0.28843177,0.557273,,-3.00743
Co@B1C2N1-hex,-87328.10279,-49707.85107,-91411.4604,-91444.28135,-0.272557951,0.699519,,-3.35761
Co@B1C2N1-opp,-87328.09229,-49707.51981,-91411.38779,-91444.32009,-0.279047434,0.781021,,-3.2955
Co@B1C2N1-pen,-87328.30239,-49707.77475,-91411.64838,-91444.54749,-0.27442503,0.726982,,-3.34599
Co@B1C2O1-hex,-87882.54832,-50262.82911,-91965.6646,-91998.86548,-0.252609445,0.696216,,-3.11628
Co@B1C2O1-opp,-87882.65729,-50263.22639,-91966.17182,-91999.10383,-0.289073829,0.763702,,-3.51453
Co@B1C2O1-pen,-87883.11836,-50263.54696,-91966.39391,-91999.41188,-0.288894587,0.727121,,-3.27555
Co@B1N1O2-hex,-89344.42647,-51727.02829,-93427.35843,-93460.53805,-0.243693651,0.76655,,-2.93196
Co@B1N1O2-opp,-89344.30621,-51726.53103,-93427.5204,-93460.31626,-0.247207435,0.769773,,-3.21419
Co@B1N1O2-pen,-89344.33655,-51726.14999,-93427.46479,-93460.48964,-0.291204822,0.252455,,-3.12824
Co@B1N2O1-hex,-88789.37076,-51170.18379,-92872.07808,-92905.55624,-0.27174402,0.779786,,-2.70732
Co@B1N2O1-opp,-88789.98329,-51171.05647,-92873.264,-92906.11114,-0.250358973,-0.681078,,-3.28071
Co@B1N2O1-pen,-88790.05089,-51171.31806,-92872.80956,-92906.28932,-0.256271516,0.252434,,-2.75867
Co@B1N2S1-hex,-97569.84037,-59950.97333,-101652.945,-101686.0567,-0.242526438,0.812336,,-3.10466
Co@B1N2S1-opp,-97569.31239,-59951.24652,-101652.5055,-101685.4804,-0.281254818,0.800701,,-3.19307
Co@B1N2S1-pen,-97569.30427,-59951.03898,-101652.3389,-101685.6222,-0.249277601,0.834612,,-3.0346
Co@B1N3,-88235.1824,-50614.98235,-92318.45882,-92351.26302,-0.252321474,0.610469,,-3.27642
Co@B1O2S1-hex,-98678.90619,-61062.44165,-102762.3076,-102795.1119,-0.262065363,0.851425,,-3.40144
Co@B1O2S1-opp,-98678.16201,-61061.94769,-102761.2274,-102794.293,-0.253431345,-0.691689,,-3.06543
Co@B1O2S1-pen,-98678.54584,-61061.74012,-102761.5071,-102794.6706,-0.255984977,0.266549,,-2.96123
Co@C1N1O1P1,-96937.87727,-59318.66049,-101021.0978,-101054.0646,-0.249694589,0.565099,,-3.22048
Co@C1N1O1S1,-98484.41049,-60866.22513,-102567.7307,-102600.5687,-0.246004609,0.532882,,-3.32024
Co@C1N1O2-opp,-89705.37046,-52086.49578,-93788.51807,-93821.32574,-0.246406449,0.751133,,-3.14761
Co@C1N1O2-pen,-89705.07742,-52086.19714,-93788.1349,-93821.35971,-0.244139697,0.762947,,-3.05748
Co@C1N1P1S1,-105718.0058,-68098.88887,-109801.1744,-109834.1281,-0.251008921,0.942954,,-3.16867
Co@C1N2O1-hex,-89150.47968,-51529.85392,-93233.38356,-93266.64964,-0.263462754,-0.24301,,-2.90388
Co@C1N2O1-opp,-89150.91064,-51530.20906,-93233.62733,-93266.95621,-0.24557939,0.70174,,-2.71669
Co@C1N2O1-pen,-89150.85524,-51530.64855,-93234.01886,-93267.0582,-0.265040749,0.986913,,-3.16362
Co@C1N2P1-hex,-96384.47898,-58764.26029,-100467.664,-100500.7315,-0.241564726,0.992636,,-3.18505
Co@C1N2P1-opp,-96383.99892,-58763.62269,-100467.2478,-100500.1533,-0.276218474,0.97961,,-3.24883
Co@C1N2P1-pen,-96384.04719,-58763.69737,-100467.1741,-100500.2031,-0.24576509,0.716992,,-3.12695
Co@C1N2S1-hex,-97930.82272,-60310.44622,-102013.9612,-102047.0056,-0.257136583,0.770149,,-3.13847
Co@C1N2S1-opp,-97930.43994,-60310.54975,-102013.5371,-102046.6094,-0.281418907,0.737886,,-3.09715
Co@C1N2S1-pen,-97930.49153,-60310.48245,-102013.7962,-102046.5007,-0.273931945,0.822757,,-3.30466
Co@C1N3,-88596.12486,-50974.28955,-92679.0443,-92712.45232,-0.283068288,0.839411,,-2.91944
Co@C1O1P1S1,-106272.6537,-68654.1181,-110355.6828,-110388.634,-0.251957051,1.043617,,-3.02916
Co@C1O2P1-hex,-97493.83989,-59875.89684,-101576.5386,-101609.7763,-0.254661008,-0.290539,,-2.69874
Co@C1O2P1-opp,-97492.80432,-59874.86892,-101575.5301,-101609.0268,-0.258143599,0.723502,,-2.72578
Co@C1O2S1-hex,-99039.60661,-61422.05567,-103122.8767,-103155.7459,-0.262753398,0.619133,,-3.27004
Co@C1O2S1-opp,-99039.10133,-61422.20257,-103122.2978,-103155.4197,-0.247874481,0.684553,,-3.19647
Co@C1O2S1-pen,-99039.34848,-61422.00347,-103122.6985,-103155.4793,-0.246933676,0.610053,,-3.35
Co@C2N1O1-hex,-88697.72959,-51077.08062,-92780.71928,-92813.70813,-0.248413637,0.718632,,-2.98969
Co@C2N1O1-opp,-88696.77622,-51075.89047,-92779.98101,-92813.0285,-0.253627075,0.698348,,-3.20479
Co@C2N1O1-pen,-88697.44862,-51076.48644,-92780.6734,-92813.61371,-0.249356994,0.486518,,-3.22478
Co@C2N1P1-hex,-95930.68368,-58310.31437,-100013.6411,-100046.5583,-0.281839217,0.945331,,-2.95744
