metal,coord,structure,variant
Ag,3,Ag_B1C1N1,
Ag,3,Ag_B1C1O1,
Ag,3,Ag_B1C1P1,
Ag,3,Ag_B1C1S1,
Ag,3,Ag_B1C2,
Ag,3,Ag_B1N1O1,
Ag,3,Ag_B1N1P1,
Ag,3,Ag_B1N1S1,
Ag,3,Ag_B1N2,
Ag,3,Ag_B1O1P1,
Ag,3,Ag_B1O1S1,
Ag,3,Ag_B1O2,
Ag,3,Ag_B1P1S1,
Ag,3,Ag_B1P2,
Ag,3,Ag_B1S2,
Ag,3,Ag_B2C1,
Ag,3,Ag_B2N1,
Ag,3,Ag_B2O1,
Ag,3,Ag_B2P1,
Ag,3,Ag_B2S1,
Ag,3,Ag_B3,
Ag,3,Ag_C1N1O1,
Ag,3,Ag_C1N1P1,
Ag,3,Ag_C1N1S1,
Ag,3,Ag_C1N2,
Ag,3,Ag_C1O1P1,
Ag,3,Ag_C1O1S1,
Ag,3,Ag_C1O2,
Ag,3,Ag_C1P1S1,
Ag,3,Ag_C1P2,
Ag,3,Ag_C1S2,
Ag,3,Ag_C2N1,
Ag,3,Ag_C2O1,
Ag,3,Ag_C2P1,
Ag,3,Ag_C2S1,
Ag,3,Ag_C3,
Ag,3,Ag_N1O1P1,
Ag,3,Ag_N1O1S1,
Ag,3,Ag_N1O2,
Ag,3,Ag_N1P1S1,
Ag,3,Ag_N1P2,
Ag,3,Ag_N1S2,
Ag,3,Ag_N2O1,
Ag,3,Ag_N2P1,
Ag,3,Ag_N2S1,
Ag,3,Ag_N3,
Ag,3,Ag_O1P1S1,
Ag,3,Ag_O1P2,
Ag,3,Ag_O1S2,
Ag,3,Ag_O2P1,
Ag,3,Ag_O2S1,
Ag,3,Ag_O3,
Ag,3,Ag_P1S2,
Ag,3,Ag_P2S1,
Ag,3,Ag_P3,
Ag,3,Ag_S3,
Ag,4,Ag_B1C1N1O1,
Ag,4,Ag_B1C1N1P1,
Ag,4,Ag_B1C1N1S1,
Ag,4,Ag_B1C1N2-hex,-hex
Ag,4,Ag_B1C1N2-opp,-opp
Ag,4,Ag_B1C1N2-pen,-pen
Ag,4,Ag_B1C1O1P1,
Ag,4,Ag_B1C1O1S1,
Ag,4,Ag_B1C1O2-hex,-hex
Ag,4,Ag_B1C1O2-opp,-opp
Ag,4,Ag_B1C1O2-pen,-pen
Ag,4,Ag_B1C1P1S1,
Ag,4,Ag_B1C1P2-hex,-hex
Ag,4,Ag_B1C1P2-opp,-opp
Ag,4,Ag_B1C1P2-pen,-pen
Ag,4,Ag_B1C1S2-hex,-hex
Ag,4,Ag_B1C1S2-opp,-opp
Ag,4,Ag_B1C1S2-pen,-pen
Ag,4,Ag_B1C2N1-hex,-hex
Ag,4,Ag_B1C2N1-opp,-opp
Ag,4,Ag_B1C2N1-pen,-pen
Ag,4,Ag_B1C2O1-hex,-hex
Ag,4,Ag_B1C2O1-opp,-opp
Ag,4,Ag_B1C2O1-pen,-pen
Ag,4,Ag_B1C2P1-hex,-hex
Ag,4,Ag_B1C2P1-opp,-opp
Ag,4,Ag_B1C2P1-pen,-pen
Ag,4,Ag_B1C2S1-hex,-hex
Ag,4,Ag_B1C2S1-opp,-opp
Ag,4,Ag_B1C2S1-pen,-pen
Ag,4,Ag_B1C3,
Ag,4,Ag_B1N1O1P1,
Ag,4,Ag_B1N1O1S1,
Ag,4,Ag_B1N1O2-hex,-hex
Ag,4,Ag_B1N1O2-opp,-opp
Ag,4,Ag_B1N1O2-pen,-pen
Ag,4,Ag_B1N1P1S1,
Ag,4,Ag_B1N1P2-hex,-hex
Ag,4,Ag_B1N1P2-opp,-opp
Ag,4,Ag_B1N1P2-pen,-pen
Ag,4,Ag_B1N1S2-hex,-hex
Ag,4,Ag_B1N1S2-opp,-opp
Ag,4,Ag_B1N1S2-pen,-pen
Ag,4,Ag_B1N2O1-hex,-hex
Ag,4,Ag_B1N2O1-opp,-opp
Ag,4,Ag_B1N2O1-pen,-pen
Ag,4,Ag_B1N2P1-hex,-hex
Ag,4,Ag_B1N2P1-opp,-opp
Ag,4,Ag_B1N2P1-pen,-pen
Ag,4,Ag_B1N2S1-hex,-hex
Ag,4,Ag_B1N2S1-opp,-opp
Ag,4,Ag_B1N2S1-pen,-pen
Ag,4,Ag_B1N3,
Ag,4,Ag_B1O1P1S1,
Ag,4,Ag_B1O1P2-hex,-hex
Ag,4,Ag_B1O1P2-opp,-opp
Ag,4,Ag_B1O1P2-pen,-pen
Ag,4,Ag_B1O1S2-hex,-hex
Ag,4,Ag_B1O1S2-opp,-opp
Ag,4,Ag_B1O1S2-pen,-pen
Ag,4,Ag_B1O2P1-hex,-hex
Ag,4,Ag_B1O2P1-opp,-opp
Ag,4,Ag_B1O2P1-pen,-pen
Ag,4,Ag_B1O2S1-hex,-hex
Ag,4,Ag_B1O2S1-opp,-opp
Ag,4,Ag_B1O2S1-pen,-pen
Ag,4,Ag_B1O3,
Ag,4,Ag_B1P1S2-hex,-hex
Ag,4,Ag_B1P1S2-opp,-opp
Ag,4,Ag_B1P1S2-pen,-pen
Ag,4,Ag_B1P2S1-hex,-hex
Ag,4,Ag_B1P2S1-opp,-opp
Ag,4,Ag_B1P2S1-pen,-pen
Ag,4,Ag_B1P3,
Ag,4,Ag_B1S3,
Ag,4,Ag_B2C1N1-hex,-hex
Ag,4,Ag_B2C1N1-opp,-opp
Ag,4,Ag_B2C1N1-pen,-pen
Ag,4,Ag_B2C1O1-hex,-hex
Ag,4,Ag_B2C1O1-opp,-opp
Ag,4,Ag_B2C1O1-pen,-pen
Ag,4,Ag_B2C1P1-hex,-hex
Ag,4,Ag_B2C1P1-opp,-opp
Ag,4,Ag_B2C1P1-pen,-pen
Ag,4,Ag_B2C1S1-hex,-hex
Ag,4,Ag_B2C1S1-opp,-opp
Ag,4,Ag_B2C1S1-pen,-pen
Ag,4,Ag_B2C2-hex,-hex
Ag,4,Ag_B2C2-opp,-opp
Ag,4,Ag_B2C2-pen,-pen
Ag,4,Ag_B2N1O1-hex,-hex
Ag,4,Ag_B2N1O1-opp,-opp
Ag,4,Ag_B2N1O1-pen,-pen
Ag,4,Ag_B2N1P1-hex,-hex
Ag,4,Ag_B2N1P1-opp,-opp
Ag,4,Ag_B2N1P1-pen,-pen
Ag,4,Ag_B2N1S1-hex,-hex
Ag,4,Ag_B2N1S1-opp,-opp
Ag,4,Ag_B2N1S1-pen,-pen
Ag,4,Ag_B2N2-hex,-hex
Ag,4,Ag_B2N2-opp,-opp
Ag,4,Ag_B2N2-pen,-pen
Ag,4,Ag_B2O1P1-hex,-hex
Ag,4,Ag_B2O1P1-opp,-opp
Ag,4,Ag_B2O1P1-pen,-pen
Ag,4,Ag_B2O1S1-hex,-hex
Ag,4,Ag_B2O1S1-opp,-opp
Ag,4,Ag_B2O1S1-pen,-pen
Ag,4,Ag_B2O2-hex,-hex
Ag,4,Ag_B2O2-opp,-opp
Ag,4,Ag_B2O2-pen,-pen
Ag,4,Ag_B2P1S1-hex,-hex
Ag,4,Ag_B2P1S1-opp,-opp
Ag,4,Ag_B2P1S1-pen,-pen
Ag,4,Ag_B2P2-hex,-hex
Ag,4,Ag_B2P2-opp,-opp
Ag,4,Ag_B2P2-pen,-pen
Ag,4,Ag_B2S2-hex,-hex
Ag,4,Ag_B2S2-opp,-opp
Ag,4,Ag_B2S2-pen,-pen
Ag,4,Ag_B3C1,
Ag,4,Ag_B3N1,
Ag,4,Ag_B3O1,
Ag,4,Ag_B3P1,
Ag,4,Ag_B3S1,
Ag,4,Ag_B4,
Ag,4,Ag_C1N1O1P1,
Ag,4,Ag_C1N1O1S1,
Ag,4,Ag_C1N1O2-hex,-hex
Ag,4,Ag_C1N1O2-opp,-opp
Ag,4,Ag_C1N1O2-pen,-pen
Ag,4,Ag_C1N1P1S1,
Ag,4,Ag_C1N1P2-hex,-hex
Ag,4,Ag_C1N1P2-opp,-opp
Ag,4,Ag_C1N1P2-pen,-pen
Ag,4,Ag_C1N1S2-hex,-hex
Ag,4,Ag_C1N1S2-opp,-opp
Ag,4,Ag_C1N1S2-pen,-pen
Ag,4,Ag_C1N2O1-hex,-hex
Ag,4,Ag_C1N2O1-opp,-opp
Ag,4,Ag_C1N2O1-pen,-pen
Ag,4,Ag_C1N2P1-hex,-hex
Ag,4,Ag_C1N2P1-opp,-opp
Ag,4,Ag_C1N2P1-pen,-pen
Ag,4,Ag_C1N2S1-hex,-hex
Ag,4,Ag_C1N2S1-opp,-opp
Ag,4,Ag_C1N2S1-pen,-pen
Ag,4,Ag_C1N3,
Ag,4,Ag_C1O1P1S1,
Ag,4,Ag_C1O1P2-hex,-hex
Ag,4,Ag_C1O1P2-opp,-opp
Ag,4,Ag_C1O1P2-pen,-pen
Ag,4,Ag_C1O1S2-hex,-hex
Ag,4,Ag_C1O1S2-opp,-opp
Ag,4,Ag_C1O1S2-pen,-pen
Ag,4,Ag_C1O2P1-hex,-hex
Ag,4,Ag_C1O2P1-opp,-opp
Ag,4,Ag_C1O2P1-pen,-pen
Ag,4,Ag_C1O2S1-hex,-hex
Ag,4,Ag_C1O2S1-opp,-opp
Ag,4,Ag_C1O2S1-pen,-pen
Ag,4,Ag_C1O3,
Ag,4,Ag_C1P1S2-hex,-hex
Ag,4,Ag_C1P1S2-opp,-opp
Ag,4,Ag_C1P1S2-pen,-pen
Ag,4,Ag_C1P2S1-hex,-hex
Ag,4,Ag_C1P2S1-opp,-opp
Ag,4,Ag_C1P2S1-pen,-pen
Ag,4,Ag_C1P3,
Ag,4,Ag_C1S3,
Ag,4,Ag_C2N1O1-hex,-hex
Ag,4,Ag_C2N1O1-opp,-opp
Ag,4,Ag_C2N1O1-pen,-pen
Ag,4,Ag_C2N1P1-hex,-hex
Ag,4,Ag_C2N1P1-opp,-opp
Ag,4,Ag_C2N1P1-pen,-pen
Ag,4,Ag_C2N1S1-hex,-hex
Ag,4,Ag_C2N1S1-opp,-opp
Ag,4,Ag_C2N1S1-pen,-pen
Ag,4,Ag_C2N2-hex,-hex
Ag,4,Ag_C2N2-opp,-opp
Ag,4,Ag_C2N2-pen,-pen
Ag,4,Ag_C2O1P1-hex,-hex
Ag,4,Ag_C2O1P1-opp,-opp
Ag,4,Ag_C2O1P1-pen,-pen
Ag,4,Ag_C2O1S1-hex,-hex
Ag,4,Ag_C2O1S1-opp,-opp
Ag,4,Ag_C2O1S1-pen,-pen
Ag,4,Ag_C2O2-hex,-hex
Ag,4,Ag_C2O2-opp,-opp
Ag,4,Ag_C2O2-pen,-pen
Ag,4,Ag_C2P1S1-hex,-hex
Ag,4,Ag_C2P1S1-opp,-opp
Ag,4,Ag_C2P1S1-pen,-pen
Ag,4,Ag_C2P2-hex,-hex
Ag,4,Ag_C2P2-opp,-opp
Ag,4,Ag_C2P2-pen,-pen
Ag,4,Ag_C2S2-hex,-hex
Ag,4,Ag_C2S2-opp,-opp
Ag,4,Ag_C2S2-pen,-pen
Ag,4,Ag_C3N1,
Ag,4,Ag_C3O1,
Ag,4,Ag_C3P1,
Ag,4,Ag_C3S1,
Ag,4,Ag_C4,
Ag,4,Ag_N1O1P1S1,
Ag,4,Ag_N1O1P2-hex,-hex
Ag,4,Ag_N1O1P2-opp,-opp
Ag,4,Ag_N1O1P2-pen,-pen
Ag,4,Ag_N1O1S2-hex,-hex
Ag,4,Ag_N1O1S2-opp,-opp
Ag,4,Ag_N1O1S2-pen,-pen
Ag,4,Ag_N1O2P1-hex,-hex
Ag,4,Ag_N1O2P1-opp,-opp
Ag,4,Ag_N1O2P1-pen,-pen
Ag,4,Ag_N1O2S1-hex,-hex
Ag,4,Ag_N1O2S1-opp,-opp
Ag,4,Ag_N1O2S1-pen,-pen
Ag,4,Ag_N1O3,
Ag,4,Ag_N1P1S2-hex,-hex
Ag,4,Ag_N1P1S2-opp,-opp
Ag,4,Ag_N1P1S2-pen,-pen
Ag,4,Ag_N1P2S1-hex,-hex
Ag,4,Ag_N1P2S1-opp,-opp
Ag,4,Ag_N1P2S1-pen,-pen
Ag,4,Ag_N1P3,
Ag,4,Ag_N1S3,
Ag,4,Ag_N2O1P1-hex,-hex
Ag,4,Ag_N2O1P1-opp,-opp
Ag,4,Ag_N2O1P1-pen,-pen
Ag,4,Ag_N2O1S1-hex,-hex
Ag,4,Ag_N2O1S1-opp,-opp
Ag,4,Ag_N2O1S1-pen,-pen
Ag,4,Ag_N2O2-hex,-hex
Ag,4,Ag_N2O2-opp,-opp
Ag,4,Ag_N2O2-pen,-pen
Ag,4,Ag_N2P1S1-hex,-hex
Ag,4,Ag_N2P1S1-opp,-opp
Ag,4,Ag_N2P1S1-pen,-pen
Ag,4,Ag_N2P2-hex,-hex
Ag,4,Ag_N2P2-opp,-opp
Ag,4,Ag_N2P2-pen,-pen
Ag,4,Ag_N2S2-hex,-hex
Ag,4,Ag_N2S2-opp,-opp
Ag,4,Ag_N2S2-pen,-pen
Ag,4,Ag_N3O1,
Ag,4,Ag_N3P1,
Ag,4,Ag_N3S1,
Ag,4,Ag_N4,
Ag,4,Ag_O1P1S2-hex,-hex
Ag,4,Ag_O1P1S2-opp,-opp
Ag,4,Ag_O1P1S2-pen,-pen
Ag,4,Ag_O1P2S1-hex,-hex
Ag,4,Ag_O1P2S1-opp,-opp
Ag,4,Ag_O1P2S1-pen,-pen
Ag,4,Ag_O1P3,
Ag,4,Ag_O1S3,
Ag,4,Ag_O2P1S1-hex,-hex
Ag,4,Ag_O2P1S1-opp,-opp
Ag,4,Ag_O2P1S1-pen,-pen
Ag,4,Ag_O2P2-hex,-hex
Ag,4,Ag_O2P2-opp,-opp
Ag,4,Ag_O2P2-pen,-pen
Ag,4,Ag_O2S2-hex,-hex
Ag,4,Ag_O2S2-opp,-opp
Ag,4,Ag_O2S2-pen,-pen
Ag,4,Ag_O3P1,
Ag,4,Ag_O3S1,
Ag,4,Ag_O4,
Ag,4,Ag_P1S3,
Ag,4,Ag_P2S2-hex,-hex
Ag,4,Ag_P2S2-opp,-opp
Ag,4,Ag_P2S2-pen,-pen
Ag,4,Ag_P3S1,
Ag,4,Ag_P4,
Ag,4,Ag_S4,
Au,3,Au_B1C1N1,
Au,3,Au_B1C1O1,
Au,3,Au_B1C1P1,
Au,3,Au_B1C1S1,
Au,3,Au_B1C2,
Au,3,Au_B1N1O1,
Au,3,Au_B1N1P1,
Au,3,Au_B1N1S1,
Au,3,Au_B1N2,
Au,3,Au_B1O1P1,
Au,3,Au_B1O1S1,
Au,3,Au_B1O2,
Au,3,Au_B1P1S1,
Au,3,Au_B1P2,
Au,3,Au_B1S2,
Au,3,Au_B2C1,
Au,3,Au_B2N1,
Au,3,Au_B2O1,
Au,3,Au_B2P1,
Au,3,Au_B2S1,
Au,3,Au_B3,
Au,3,Au_C1N1O1,
Au,3,Au_C1N1P1,
Au,3,Au_C1N1S1,
Au,3,Au_C1N2,
Au,3,Au_C1O1P1,
Au,3,Au_C1O1S1,
Au,3,Au_C1O2,
Au,3,Au_C1P1S1,
Au,3,Au_C1P2,
Au,3,Au_C1S2,
Au,3,Au_C2N1,
Au,3,Au_C2O1,
Au,3,Au_C2P1,
Au,3,Au_C2S1,
Au,3,Au_C3,
Au,3,Au_N1O1P1,
Au,3,Au_N1O1S1,
Au,3,Au_N1O2,
Au,3,Au_N1P1S1,
Au,3,Au_N1P2,
Au,3,Au_N1S2,
Au,3,Au_N2O1,
Au,3,Au_N2P1,
Au,3,Au_N2S1,
Au,3,Au_N3,
Au,3,Au_O1P1S1,
Au,3,Au_O1P2,
Au,3,Au_O1S2,
Au,3,Au_O2P1,
Au,3,Au_O2S1,
Au,3,Au_O3,
Au,3,Au_P1S2,
Au,3,Au_P2S1,
Au,3,Au_P3,
Au,3,Au_S3,
Au,4,Au_B1C1N1O1,
Au,4,Au_B1C1N1P1,
Au,4,Au_B1C1N1S1,
Au,4,Au_B1C1N2-hex,-hex
Au,4,Au_B1C1N2-opp,-opp
Au,4,Au_B1C1N2-pen,-pen
Au,4,Au_B1C1O1P1,
Au,4,Au_B1C1O1S1,
Au,4,Au_B1C1O2-hex,-hex
Au,4,Au_B1C1O2-opp,-opp
Au,4,Au_B1C1O2-pen,-pen
Au,4,Au_B1C1P1S1,
Au,4,Au_B1C1P2-hex,-hex
Au,4,Au_B1C1P2-opp,-opp
Au,4,Au_B1C1P2-pen,-pen
Au,4,Au_B1C1S2-hex,-hex
Au,4,Au_B1C1S2-opp,-opp
Au,4,Au_B1C1S2-pen,-pen
Au,4,Au_B1C2N1-hex,-hex
Au,4,Au_B1C2N1-opp,-opp
Au,4,Au_B1C2N1-pen,-pen
Au,4,Au_B1C2O1-hex,-hex
Au,4,Au_B1C2O1-opp,-opp
Au,4,Au_B1C2O1-pen,-pen
Au,4,Au_B1C2P1-hex,-hex
Au,4,Au_B1C2P1-opp,-opp
Au,4,Au_B1C2P1-pen,-pen
Au,4,Au_B1C2S1-hex,-hex
Au,4,Au_B1C2S1-opp,-opp
Au,4,Au_B1C2S1-pen,-pen
Au,4,Au_B1C3,
Au,4,Au_B1N1O1P1,
Au,4,Au_B1N1O1S1,
Au,4,Au_B1N1O2-hex,-hex
Au,4,Au_B1N1O2-opp,-opp
Au,4,Au_B1N1O2-pen,-pen
Au,4,Au_B1N1P1S1,
Au,4,Au_B1N1P2-hex,-hex
Au,4,Au_B1N1P2-opp,-opp
Au,4,Au_B1N1P2-pen,-pen
Au,4,Au_B1N1S2-hex,-hex
Au,4,Au_B1N1S2-opp,-opp
Au,4,Au_B1N1S2-pen,-pen
Au,4,Au_B1N2O1-hex,-hex
Au,4,Au_B1N2O1-opp,-opp
Au,4,Au_B1N2O1-pen,-pen
Au,4,Au_B1N2P1-hex,-hex
Au,4,Au_B1N2P1-opp,-opp
Au,4,Au_B1N2P1-pen,-pen
Au,4,Au_B1N2S1-hex,-hex
Au,4,Au_B1N2S1-opp,-opp
Au,4,Au_B1N2S1-pen,-pen
Au,4,Au_B1N3,
Au,4,Au_B1O1P1S1,
Au,4,Au_B1O1P2-hex,-hex
Au,4,Au_B1O1P2-opp,-opp
Au,4,Au_B1O1P2-pen,-pen
Au,4,Au_B1O1S2-hex,-hex
Au,4,Au_B1O1S2-opp,-opp
Au,4,Au_B1O1S2-pen,-pen
Au,4,Au_B1O2P1-hex,-hex
Au,4,Au_B1O2P1-opp,-opp
Au,4,Au_B1O2P1-pen,-pen
Au,4,Au_B1O2S1-hex,-hex
Au,4,Au_B1O2S1-opp,-opp
Au,4,Au_B1O2S1-pen,-pen
Au,4,Au_B1O3,
Au,4,Au_B1P1S2-hex,-hex
Au,4,Au_B1P1S2-opp,-opp
Au,4,Au_B1P1S2-pen,-pen
Au,4,Au_B1P2S1-hex,-hex
Au,4,Au_B1P2S1-opp,-opp
Au,4,Au_B1P2S1-pen,-pen
Au,4,Au_B1P3,
Au,4,Au_B1S3,
Au,4,Au_B2C1N1-hex,-hex
Au,4,Au_B2C1N1-opp,-opp
Au,4,Au_B2C1N1-pen,-pen
Au,4,Au_B2C1O1-hex,-hex
Au,4,Au_B2C1O1-opp,-opp
Au,4,Au_B2C1O1-pen,-pen
Au,4,Au_B2C1P1-hex,-hex
Au,4,Au_B2C1P1-opp,-opp
Au,4,Au_B2C1P1-pen,-pen
Au,4,Au_B2C1S1-hex,-hex
Au,4,Au_B2C1S1-opp,-opp
Au,4,Au_B2C1S1-pen,-pen
Au,4,Au_B2C2-hex,-hex
Au,4,Au_B2C2-opp,-opp
Au,4,Au_B2C2-pen,-pen
Au,4,Au_B2N1O1-hex,-hex
Au,4,Au_B2N1O1-opp,-opp
Au,4,Au_B2N1O1-pen,-pen
Au,4,Au_B2N1P1-hex,-hex
Au,4,Au_B2N1P1-opp,-opp
Au,4,Au_B2N1P1-pen,-pen
Au,4,Au_B2N1S1-hex,-hex
Au,4,Au_B2N1S1-opp,-opp
Au,4,Au_B2N1S1-pen,-pen
Au,4,Au_B2N2-hex,-hex
Au,4,Au_B2N2-opp,-opp
Au,4,Au_B2N2-pen,-pen
Au,4,Au_B2O1P1-hex,-hex
Au,4,Au_B2O1P1-opp,-opp
Au,4,Au_B2O1P1-pen,-pen
Au,4,Au_B2O1S1-hex,-hex
Au,4,Au_B2O1S1-opp,-opp
Au,4,Au_B2O1S1-pen,-pen
Au,4,Au_B2O2-hex,-hex
Au,4,Au_B2O2-opp,-opp
Au,4,Au_B2O2-pen,-pen
Au,4,Au_B2P1S1-hex,-hex
Au,4,Au_B2P1S1-opp,-opp
Au,4,Au_B2P1S1-pen,-pen
Au,4,Au_B2P2-hex,-hex
Au,4,Au_B2P2-opp,-opp
Au,4,Au_B2P2-pen,-pen
Au,4,Au_B2S2-hex,-hex
Au,4,Au_B2S2-opp,-opp
Au,4,Au_B2S2-pen,-pen
Au,4,Au_B3C1,
Au,4,Au_B3N1,
Au,4,Au_B3O1,
Au,4,Au_B3P1,
Au,4,Au_B3S1,
Au,4,Au_B4,
Au,4,Au_C1N1O1P1,
Au,4,Au_C1N1O1S1,
Au,4,Au_C1N1O2-hex,-hex
Au,4,Au_C1N1O2-opp,-opp
Au,4,Au_C1N1O2-pen,-pen
Au,4,Au_C1N1P1S1,
Au,4,Au_C1N1P2-hex,-hex
Au,4,Au_C1N1P2-opp,-opp
Au,4,Au_C1N1P2-pen,-pen
Au,4,Au_C1N1S2-hex,-hex
Au,4,Au_C1N1S2-opp,-opp
Au,4,Au_C1N1S2-pen,-pen
Au,4,Au_C1N2O1-hex,-hex
Au,4,Au_C1N2O1-opp,-opp
Au,4,Au_C1N2O1-pen,-pen
Au,4,Au_C1N2P1-hex,-hex
Au,4,Au_C1N2P1-opp,-opp
Au,4,Au_C1N2P1-pen,-pen
Au,4,Au_C1N2S1-hex,-hex
Au,4,Au_C1N2S1-opp,-opp
Au,4,Au_C1N2S1-pen,-pen
Au,4,Au_C1N3,
Au,4,Au_C1O1P1S1,
Au,4,Au_C1O1P2-hex,-hex
Au,4,Au_C1O1P2-opp,-opp
Au,4,Au_C1O1P2-pen,-pen
Au,4,Au_C1O1S2-hex,-hex
Au,4,Au_C1O1S2-opp,-opp
Au,4,Au_C1O1S2-pen,-pen
Au,4,Au_C1O2P1-hex,-hex
Au,4,Au_C1O2P1-opp,-opp
Au,4,Au_C1O2P1-pen,-pen
Au,4,Au_C1O2S1-hex,-hex
Au,4,Au_C1O2S1-opp,-opp
Au,4,Au_C1O2S1-pen,-pen
Au,4,Au_C1O3,
Au,4,Au_C1P1S2-hex,-hex
Au,4,Au_C1P1S2-opp,-opp
Au,4,Au_C1P1S2-pen,-pen
Au,4,Au_C1P2S1-hex,-hex
Au,4,Au_C1P2S1-opp,-opp
Au,4,Au_C1P2S1-pen,-pen
Au,4,Au_C1P3,
Au,4,Au_C1S3,
Au,4,Au_C2N1O1-hex,-hex
Au,4,Au_C2N1O1-opp,-opp
Au,4,Au_C2N1O1-pen,-pen
Au,4,Au_C2N1P1-hex,-hex
Au,4,Au_C2N1P1-opp,-opp
Au,4,Au_C2N1P1-pen,-pen
Au,4,Au_C2N1S1-hex,-hex
Au,4,Au_C2N1S1-opp,-opp
Au,4,Au_C2N1S1-pen,-pen
Au,4,Au_C2N2-hex,-hex
Au,4,Au_C2N2-opp,-opp
Au,4,Au_C2N2-pen,-pen
Au,4,Au_C2O1P1-hex,-hex
Au,4,Au_C2O1P1-opp,-opp
Au,4,Au_C2O1P1-pen,-pen
Au,4,Au_C2O1S1-hex,-hex
Au,4,Au_C2O1S1-opp,-opp
Au,4,Au_C2O1S1-pen,-pen
Au,4,Au_C2O2-hex,-hex
Au,4,Au_C2O2-opp,-opp
Au,4,Au_C2O2-pen,-pen
Au,4,Au_C2P1S1-hex,-hex
Au,4,Au_C2P1S1-opp,-opp
Au,4,Au_C2P1S1-pen,-pen
Au,4,Au_C2P2-hex,-hex
Au,4,Au_C2P2-opp,-opp
Au,4,Au_C2P2-pen,-pen
Au,4,Au_C2S2-hex,-hex
Au,4,Au_C2S2-opp,-opp
Au,4,Au_C2S2-pen,-pen
Au,4,Au_C3N1,
Au,4,Au_C3O1,
Au,4,Au_C3P1,
Au,4,Au_C3S1,
Au,4,Au_C4,
Au,4,Au_N1O1P1S1,
Au,4,Au_N1O1P2-hex,-hex
Au,4,Au_N1O1P2-opp,-opp
Au,4,Au_N1O1P2-pen,-pen
Au,4,Au_N1O1S2-hex,-hex
Au,4,Au_N1O1S2-opp,-opp
Au,4,Au_N1O1S2-pen,-pen
Au,4,Au_N1O2P1-hex,-hex
Au,4,Au_N1O2P1-opp,-opp
Au,4,Au_N1O2P1-pen,-pen
Au,4,Au_N1O2S1-hex,-hex
Au,4,Au_N1O2S1-opp,-opp
Au,4,Au_N1O2S1-pen,-pen
Au,4,Au_N1O3,
Au,4,Au_N1P1S2-hex,-hex
Au,4,Au_N1P1S2-opp,-opp
Au,4,Au_N1P1S2-pen,-pen
Au,4,Au_N1P2S1-hex,-hex
Au,4,Au_N1P2S1-opp,-opp
Au,4,Au_N1P2S1-pen,-pen
Au,4,Au_N1P3,
Au,4,Au_N1S3,
Au,4,Au_N2O1P1-hex,-hex
Au,4,Au_N2O1P1-opp,-opp
Au,4,Au_N2O1P1-pen,-pen
Au,4,Au_N2O1S1-hex,-hex
Au,4,Au_N2O1S1-opp,-opp
Au,4,Au_N2O1S1-pen,-pen
Au,4,Au_N2O2-hex,-hex
Au,4,Au_N2O2-opp,-opp
Au,4,Au_N2O2-pen,-pen
Au,4,Au_N2P1S1-hex,-hex
Au,4,Au_N2P1S1-opp,-opp
Au,4,Au_N2P1S1-pen,-pen
Au,4,Au_N2P2-hex,-hex
Au,4,Au_N2P2-opp,-opp
Au,4,Au_N2P2-pen,-pen
Au,4,Au_N2S2-hex,-hex
Au,4,Au_N2S2-opp,-opp
Au,4,Au_N2S2-pen,-pen
Au,4,Au_N3O1,
Au,4,Au_N3P1,
Au,4,Au_N3S1,
Au,4,Au_N4,
Au,4,Au_O1P1S2-hex,-hex
Au,4,Au_O1P1S2-opp,-opp
Au,4,Au_O1P1S2-pen,-pen
Au,4,Au_O1P2S1-hex,-hex
Au,4,Au_O1P2S1-opp,-opp
Au,4,Au_O1P2S1-pen,-pen
Au,4,Au_O1P3,
Au,4,Au_O1S3,
Au,4,Au_O2P1S1-hex,-hex
Au,4,Au_O2P1S1-opp,-opp
Au,4,Au_O2P1S1-pen,-pen
Au,4,Au_O2P2-hex,-hex
Au,4,Au_O2P2-opp,-opp
Au,4,Au_O2P2-pen,-pen
Au,4,Au_O2S2-hex,-hex
Au,4,Au_O2S2-opp,-opp
Au,4,Au_O2S2-pen,-pen
Au,4,Au_O3P1,
Au,4,Au_O3S1,
Au,4,Au_O4,
Au,4,Au_P1S3,
Au,4,Au_P2S2-hex,-hex
Au,4,Au_P2S2-opp,-opp
Au,4,Au_P2S2-pen,-pen
Au,4,Au_P3S1,
Au,4,Au_P4,
Au,4,Au_S4,
Cd,3,Cd_B1C1N1,
Cd,3,Cd_B1C1O1,
Cd,3,Cd_B1C1P1,
Cd,3,Cd_B1C1S1,
Cd,3,Cd_B1C2,
Cd,3,Cd_B1N1O1,
Cd,3,Cd_B1N1P1,
Cd,3,Cd_B1N1S1,
Cd,3,Cd_B1N2,
Cd,3,Cd_B1O1P1,
Cd,3,Cd_B1O1S1,
Cd,3,Cd_B1O2,
Cd,3,Cd_B1P1S1,
Cd,3,Cd_B1P2,
Cd,3,Cd_B1S2,
Cd,3,Cd_B2C1,
Cd,3,Cd_B2N1,
Cd,3,Cd_B2O1,
Cd,3,Cd_B2P1,
Cd,3,Cd_B2S1,
Cd,3,Cd_B3,
Cd,3,Cd_C1N1O1,
Cd,3,Cd_C1N1P1,
Cd,3,Cd_C1N1S1,
Cd,3,Cd_C1N2,
Cd,3,Cd_C1O1P1,
